DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-11                03:49:26.778              130.15933771              3123.824105               131.15933771              1652240966.778            0                         963                       1.4000079486E+02          4.4999900818E+01          3.8000000000E+01          4.5089927673E+01          4.4999626160E+01          4.7000000000E+01          3.0000000000E+00          4.5650779330E+04          0.0000000000E+00          3.8000514826E-01          3.5526199874E-01          3.4663258408E-01          3.5039494393E-01          3.8826732718E-01          3.6296547767E-01          3.5418562049E-01          3.5803593588E-01          1.3546877566E+03          0.0000000000E+00          2.5612978326E+01          2.6017711663E+01          1.2243730969E+00          6.8570928689E+03          0.0000000000E+00          1.2317009045E+00          1.8323694856E+02          1.5510617450E+00          8.0368861559E+01          4.9708208262E+03          6.8261988949E+03          
2022-05-11                03:49:27.440              130.15934537              3123.824289               131.15934537              1652240967.440            0                         963                       1.4000042103E+02          4.4999900818E+01          3.8000000000E+01          4.5089927673E+01          4.4999626160E+01          2.5000000000E+01          3.0000000000E+00          4.5650999750E+04          0.0000000000E+00          3.8076696761E-01          3.5281403334E-01          3.4707200418E-01          3.5070776062E-01          3.8904135819E-01          3.6046114039E-01          3.5463441938E-01          3.5835556853E-01          1.3447383771E+03          0.0000000000E+00          2.5705300842E+01          2.6111273118E+01          1.2237190369E+00          6.8661198388E+03          0.0000000000E+00          1.2317009045E+00          1.8323694856E+02          1.5510617450E+00          8.0368861559E+01          5.1255271036E+03          6.8261988949E+03          
2022-05-11                03:49:28.506              130.15935772              3123.824585               131.15935772              1652240968.507            0                         963                       1.4000042103E+02          4.4999900818E+01          3.8000000000E+01          4.5089927673E+01          4.4999626160E+01          4.7000000000E+01          3.0000000000E+00          4.5650999750E+04          0.0000000000E+00          3.8199151937E-01          3.4963959568E-01          3.4742835369E-01          3.5122514358E-01          3.9028546631E-01          3.5721169931E-01          3.5499804841E-01          3.5888429221E-01          1.3287031414E+03          0.0000000000E+00          2.5740720858E+01          2.6146896648E+01          1.2226626465E+00          6.8806692751E+03          0.0000000000E+00          1.2350470781E+00          1.8323694856E+02          1.4746886728E+00          8.0368861559E+01          5.1255271036E+03          6.8261988949E+03          
2022-05-11                03:49:29.249              130.15936631              3123.824791               131.15936631              1652240969.249            0                         963                       1.4000042103E+02          4.4999900818E+01          3.8000000000E+01          4.5089927673E+01          4.4999626160E+01          4.7000000000E+01          3.0000000000E+00          4.5650999750E+04          0.0000000000E+00          3.8171107735E-01          3.5044138272E-01          3.4778028265E-01          3.5173331098E-01          3.8999382094E-01          3.5803125235E-01          3.5535696077E-01          3.5940361797E-01          1.3287686272E+03          0.0000000000E+00          2.5765352226E+01          2.6171668981E+01          1.2219280620E+00          6.8907870537E+03          0.0000000000E+00          1.2350470781E+00          1.8323694856E+02          1.4746886728E+00          8.0368861559E+01          5.1255271036E+03          6.8261988949E+03          
2022-05-11                03:49:29.811              130.15937281              3123.824948               131.15937281              1652240969.811            0                         963                       1.4000347357E+02          4.5000008675E+01          3.8000000000E+01          4.5089873745E+01          4.4999536279E+01          2.0000000000E+00          3.0000000000E+00          4.5651145601E+04          0.0000000000E+00          3.8057829180E-01          3.5099196871E-01          3.4821170212E-01          3.5211414704E-01          3.8883242056E-01          3.5859224466E-01          3.5579697197E-01          3.5979285687E-01          1.3354899680E+03          0.0000000000E+00          2.5784008342E+01          2.6190431561E+01          1.2213716991E+00          6.8984503755E+03          0.0000000000E+00          1.2350470781E+00          1.8323694856E+02          1.4746886728E+00          8.0163837533E+01          5.1255271036E+03          6.8984001622E+03          
2022-05-11                03:49:30.344              130.15937898              3123.825096               131.15937898              1652240970.344            0                         963                       1.4000525999E+02          4.5000083923E+01          3.8000000000E+01          4.5089836121E+01          4.4999473572E+01          4.6000000000E+01          3.0000000000E+00          4.5651542603E+04          0.0000000000E+00          3.7950671933E-01          3.5147511739E-01          3.4859806036E-01          3.5238105435E-01          3.8774469932E-01          3.5908491180E-01          3.5619138836E-01          3.6006568101E-01          1.3418405753E+03          0.0000000000E+00          2.5800513733E+01          2.6207556703E+01          1.2224363640E+00          6.9020107127E+03          0.0000000000E+00          1.2350470781E+00          1.8515568274E+02          1.4746886728E+00          8.0163837533E+01          5.1255271036E+03          6.8984001622E+03          
2022-05-11                03:49:31.322              130.15939030              3123.825367               131.15939030              1652240971.322            0                         963                       1.3999659814E+02          4.5000083923E+01          3.8000000000E+01          4.5089836121E+01          4.4999473572E+01          4.7000000000E+01          3.0000000000E+00          4.5650439704E+04          0.0000000000E+00          3.7745157265E-01          3.5263993484E-01          3.4916641835E-01          3.5243601034E-01          3.8565976876E-01          3.6027513931E-01          3.5677147458E-01          3.6012191277E-01          1.3534934264E+03          0.0000000000E+00          2.5830959918E+01          2.6239238368E+01          1.2246695263E+00          6.9085433828E+03          0.0000000000E+00          1.2295525170E+00          1.8515568274E+02          1.5257966279E+00          8.0163837533E+01          5.1255271036E+03          6.8984001622E+03          
2022-05-11                03:49:32.058              130.15939882              3123.825572               131.15939882              1652240972.058            0                         963                       1.3999659814E+02          4.5000083923E+01          3.8000000000E+01          4.5089836121E+01          4.4999473572E+01          4.7000000000E+01          3.0000000000E+00          4.5650439704E+04          0.0000000000E+00          3.7711019015E-01          3.5323677033E-01          3.4991756041E-01          3.5249247719E-01          3.8532233921E-01          3.6088604662E-01          3.5753759378E-01          3.6017967195E-01          1.3535254834E+03          0.0000000000E+00          2.5853872367E+01          2.6263081848E+01          1.2263502934E+00          6.9134595964E+03          0.0000000000E+00          1.2295525170E+00          1.8515568274E+02          1.5257966279E+00          8.0163837533E+01          5.1255271036E+03          6.8984001622E+03          
2022-05-11                03:49:33.029              130.15941006              3123.825841               131.15941006              1652240973.029            0                         963                       1.4000155673E+02          4.5000083923E+01          3.8000000000E+01          4.5089833052E+01          4.4999488914E+01          2.5000000000E+01          3.0000000000E+00          4.5651119651E+04          0.0000000000E+00          3.8010724082E-01          3.5655831772E-01          3.5044206168E-01          3.5252168974E-01          3.8840044460E-01          3.6428148281E-01          3.5807294935E-01          3.6020958281E-01          1.3578820668E+03          0.0000000000E+00          2.5884100563E+01          2.6294540008E+01          1.2285679638E+00          6.9199455594E+03          0.0000000000E+00          1.2295525170E+00          1.8515568274E+02          1.5257966279E+00          8.0163837533E+01          5.1606862787E+03          6.8984001622E+03          
2022-05-11                03:49:34.141              130.15942293              3123.826150               131.15942293              1652240974.141            0                         963                       1.4000155673E+02          4.5000083923E+01          3.8000000000E+01          4.5089833052E+01          4.4999488914E+01          4.7000000000E+01          3.0000000000E+00          4.5651119651E+04          0.0000000000E+00          3.8353110528E-01          3.6005439399E-01          3.5092771707E-01          3.5249276248E-01          3.9191721596E-01          3.6785649700E-01          3.5856885262E-01          3.6018004940E-01          1.3628734470E+03          0.0000000000E+00          2.5672545103E+01          2.6080481689E+01          1.2311031438E+00          6.9273731922E+03          0.0000000000E+00          1.2422175566E+00          1.8515568274E+02          1.4421057602E+00          8.0163837533E+01          5.1606862787E+03          6.8984001622E+03          
