""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"1"	1672536566.04637	14035.0881130824	9719.22425428081	NA	NA	NA	NA	NA	NA	NA	NA
"2"	1672538964.79825	9748.95167692148	9283.48824093472	NA	NA	NA	NA	296.414023342688	25778.0450416671	0.732942838376517	6197.55721465791
"3"	1672541364.6817	9620.49546846922	9953.23950359138	195.083727030681	19859.4959102979	0.425307143641037	3675.12035482806	298.761322484876	26873.5689179547	0.804799571111055	6611.13549671231
"4"	1672543764.03634	11787.6975774685	9944.16212354787	221.807558597635	21693.4214020314	0.493946398794578	4416.99344474149	288.415813847487	25858.6493095326	0.834993741034161	6586.22181289784
"5"	1672546162.97494	13563.055479758	9992.5870195765	260.949279161152	21753.9643294732	0.52298165471768	4695.67152351811	318.376338175478	24832.883219483	0.76655239721786	6626.44657722516
"6"	1672548562.2406	13582.810774128	9645.03324140991	255.240324814901	22410.3604820848	0.549688770870145	4912.5863365685	291.77743080461	22648.2516648543	0.748457281297094	6395.91411229095
"7"	1672550959.97118	11184.9198591365	9654.45467292493	208.730165468983	18202.5454982669	0.428809834442396	4290.56749540048	283.557496123812	21051.4820836269	0.713353341862289	6234.85551428
"8"	1672553361.49624	9640.85187530333	9478.58609754329	211.150523639287	18273.6441484844	0.426602265046154	3831.88224740121	301.170437909457	21464.7607884217	0.730737686786895	6348.0119075951
"9"	1672555760.5802	9528.91699193437	9417.95210581907	219.337165656236	17168.3910120137	0.434631542222374	4081.95050665467	315.395618856418	22344.824823795	0.855783857045828	6659.15406696333
"10"	1672558161.42356	10110.6842025215	9261.43805543894	217.149968562956	17228.28197378	0.446126173686801	4303.53657772281	310.517453652682	22867.2823790792	0.83640749048066	6670.67763625644
"11"	1672560558.78321	12146.5019824373	11335.2689710837	222.658945444052	21812.881553974	0.45813752967779	4676.7501869755	294.633957240993	27536.8139238743	0.753311200026359	6493.12326880551
"12"	1672562960.46992	13511.8762741078	8524.052369458	255.967639395655	24204.6449430443	0.556823635827403	4537.03601192312	308.208005208932	26512.9265307879	0.765820069334548	6080.98034750794
"13"	1672565359.32331	9684.29366304882	8578.85836697763	214.329656181797	20569.8089815706	0.415646927387457	3931.88106002886	305.145051412841	26226.0173689177	0.747825824238903	5890.77958957666
"14"	1672567758.27318	9361.28586231821	9231.99014843406	201.349268397538	20649.4258723223	0.510648440119219	4017.45129583706	293.339424339056	27362.8717563531	0.942031815845884	6688.69628524902
"15"	1672570157.99248	12706.5920330655	9915.51840765305	249.537177408982	25315.8636176278	0.603404431985138	4949.28245882478	312.218984344586	27686.6243225628	0.986190978043725	7227.4933021832
"16"	1672572555.82707	14023.8881054377	10890.4126689035	238.939392906717	22762.6274627628	0.520869580373805	4449.40787637337	287.424234335898	26769.9484669246	0.98433442825065	7536.91676891055
"17"	1672574956.69048	15048.9801266487	16615.4945321691	229.226268986183	23451.6414841165	0.526627253556851	4441.3744052048	311.881658737167	25390.2677663511	0.799685045374103	7964.73325536158
"18"	1672577355.38596	21966.144694045	18926.643888618	248.65337847553	31747.5185563696	0.770133188276234	5723.26089896343	307.879299398723	29528.8711599892	0.875606682677578	7299.20416811264
"19"	1672579755.34962	24244.2806079391	23491.9805649909	244.847917644745	30030.6330821317	0.631613045594066	5564.87356199211	431.305658130179	35278.2066512805	0.908472444105446	8932.9975602334
"20"	1672582152.84712	22444.6949273046	21386.6197944062	273.23902802038	25546.8818644988	0.439621142103838	4906.17068568397	372.67031357474	32601.9840562999	0.830917674890384	8168.69171730216
"21"	1672584552.49875	21897.5513937408	16693.363028598	251.465114704106	28563.4993068887	0.619962722911818	4948.26602474945	324.758590969707	26161.1933060323	0.68913953437714	6503.0295338193
"22"	1672586952.40351	22814.569583038	17989.1499033441	268.529110306563	27924.5084965423	0.700421324115654	5045.88806118342	351.578982378874	28886.8071705495	0.795312124671398	7165.12963865273
"23"	1672589352.22932	18684.2798699812	16509.9468971311	230.715417588689	20973.5530205272	0.488577113508982	4117.33200356998	321.175992116299	26436.1920318245	0.692598200388744	6618.9342313968
"24"	1672591750.62657	17005.1220044861	16204.0602277271	209.481665540387	18845.6489933774	0.429090206806297	3963.65277324803	324.911661541894	23927.6385328463	0.645400010206627	6735.90721707032
"25"	1672594150.40601	16020.602082718	15545.2822457358	236.450481564451	19936.6841595671	0.488845010051629	4126.03701358352	347.754933983172	22994.5142525333	0.697721704777216	7171.21344153832
"26"	1672596549.32206	14922.6868507664	12385.2495323801	227.358341240995	19026.7452483235	0.518427549037479	4415.69216652913	310.668119960536	22888.1808498289	0.781913681836925	6598.47447222855
"27"	1672598949.57644	14715.382214188	15632.5180287872	239.670289761152	20483.8467177264	0.540185629824045	5049.7864585812	326.401996084197	23982.455771683	0.694223856518641	7278.52189165463
"28"	1672601349.03759	21846.9109075119	18470.6387435411	253.345071108475	27424.2979268169	0.564953970658652	5620.49646639147	364.222176112731	30332.399122177	0.729582829296144	7401.36459911864
"29"	1672603749.00752	19440.6034528299	10752.1290721309	275.884128668692	27138.4400133787	0.512559672683004	4906.17389994593	308.858368124996	26552.4068297562	0.735223226912248	6277.61068124086
"30"	1672606148.5401	14838.6776446132	9654.16227105572	227.91096901853	22698.8751310171	0.377693188374262	4014.69426981818	303.728677643568	25544.6715448276	0.731828858329367	6076.47258431687
"31"	1672608546.51378	14258.4311968035	10509.2715217471	244.064161231904	22823.1212450102	0.394683682643291	3982.78180337249	286.888568539795	23854.1596475808	0.747176147056198	6167.64037646459
"32"	1672610947.02005	14317.867377585	19548.9682017483	234.038077469266	21900.9699001981	0.436911382242197	4100.09106568163	445.626959089727	35127.0824952978	1.01993017390127	9380.86830952149
"33"	1672613346.01003	15377.8786732712	16251.553285026	226.202165584217	20311.3993026035	0.492806259971192	4242.35284125629	334.52424189142	25705.9634427611	0.740888995795988	6996.81908141189
"34"	1672615745.87218	17371.9206450827	16894.7023504854	248.13813401753	20172.8703981129	0.45140264886052	4463.4724032599	322.638887047107	22831.4178604061	0.611356235486076	6935.51096022279
"35"	1672618144.19173	18928.0433466653	17336.3126358167	262.465697990856	20636.0679426291	0.552989881989735	4891.52604004196	356.65802747633	25735.227330559	0.840939889126498	7381.32286728511
"36"	1672620543.10025	20521.348045462	21059.5911869412	258.298961611473	28626.2568658281	0.544694008203673	4855.7595199699	382.268724145781	31250.4833771273	0.770988584834077	7504.22080066836
"37"	1672622941.38722	19815.1993714959	18127.6527444462	271.62970471695	25650.0201791203	0.48557982341124	4496.5241414429	373.185958973246	29525.4764673854	0.653468861078903	7297.01540496946
"38"	1672625341.80201	15712.0435087892	16510.1645441229	231.833965698371	22523.3354033045	0.383718306506701	3873.0467650461	341.999913946882	28953.8595573603	0.647718526525064	6826.42442097591
"39"	1672627740.85589	16285.8243010492	16044.4271732948	250.106567142688	22515.1039807403	0.429198762288827	3868.57669196163	363.428326318457	27382.618477218	0.620830779431293	6385.19591924234
"40"	1672630141.54637	18015.5764238095	16776.6300871214	222.912014684735	23210.1416796638	0.506081270633232	4304.8630877957	333.921491029379	26744.3874352461	0.695331587889062	6658.66902013282
"41"	1672632541.07519	20111.0968391543	16801.6832627293	297.938058973256	24235.8454469172	0.490308499127873	4773.68922485214	339.769268340021	25634.2962677048	0.672787625976341	6688.1759982637
"42"	1672634940.6391	20747.1701501492	15896.7315449142	234.80302668519	21809.4786193269	0.47252356165292	4645.23586551645	327.901229214915	22702.6234111722	0.601625171428936	6319.74478316459
