""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"1"	1655339681.34837	18025.6120744445	25026.394668834	NA	NA	NA	NA	355.007524046538	26270.4387197085	0.451221473737965	7398.80561586747
"2"	1655342080.37093	17998.5306373235	24861.4725819629	289.43340305025	20738.8761577081	0.440530678746794	5674.89268731554	329.497331221338	25727.7815977955	0.401493217514402	7541.27447499677
"3"	1655344480.34211	17730.4153041878	24980.6357472102	285.972952926158	19522.704314564	0.337460234921458	5701.55943914792	359.97013066908	26099.0874753723	0.401083977165849	8306.46862823353
"4"	1655346878.80201	18017.444841343	24914.2356477755	306.423351311266	20475.9234049572	0.237062651335165	5959.43638462886	373.672639300363	24266.4647522161	0.499722606240994	8021.62247587993
"5"	1655349277.9787	17857.2087214974	25019.1468597017	259.255820421811	17931.9231729843	0.23329336348794	5722.70428436962	354.004499942335	24286.290307333	0.546928409571761	8265.16276574305
"6"	1655351678.04762	18094.2422292942	25226.0917635629	285.105678744759	18056.2575349535	0.335879205397443	6049.26601944149	382.797789312629	25135.9523793641	0.45169649890681	8178.98080191789
"7"	1655354078.8609	19391.6490902798	25152.0749666377	302.153115641856	18517.7735888227	0.314506531040077	5931.41909107379	397.200978263488	25968.4935429085	0.48873935041013	8381.76504734672
"8"	1655356477.2807	19848.2784565209	25210.4442342164	244.742077834598	17182.2722590897	0.476661777573908	6392.6844584318	254.872138777351	27921.3590461935	0.32430021401964	7715.35756703041
"9"	1655358876.51504	19839.5292599733	25027.4243956246	241.50145520294	18525.9806620383	0.130722628099987	5655.8170481255	286.541226876823	24664.8656328986	0.232405082933715	6429.24410467879
"10"	1655361275.84837	19852.6101959337	26629.9025683398	218.998299781582	19065.031374546	0.225067678533156	5148.41111551857	304.546669404833	24672.5474069746	0.486526550214091	8335.8752332654
"11"	1655363675.12531	19649.1583976289	26866.1307222335	240.387265273042	19334.7559603186	0.246682773095334	4842.83737276821	301.12157010998	24436.5908213794	0.365729836220284	7704.27507145736
"12"	1655366074.71679	20073.1822410921	26647.1447236862	264.708648965612	19913.5924493767	0.334226333400249	5191.19601331889	289.944282824844	21614.178556538	0.325232717187797	7069.58300430648
"13"	1655368474.96992	19342.8334564716	26333.1958673311	231.997232147759	17087.1874106092	0.276855606500135	4862.46189465526	295.854630896821	25140.6247638781	0.436858774290771	8019.64866806459
"14"	1655370873.401	19706.9892016907	26420.0362760147	234.962034182463	17661.7169801869	0.35383318774605	5401.92749622848	311.410982667854	24162.5462100013	0.526627726329932	8203.43890390637
"15"	1655373271.78947	19628.6988523139	25635.3986946706	255.853622851516	18403.8482481605	0.487963417420608	5634.42786522414	277.42046035843	18869.3040688787	0.493985355189138	6741.44696550158
"16"	1655375671.39474	20037.1921371904	26305.6639953962	267.761273362764	18532.5448030673	0.453700303041943	6251.84877407156	259.897182512482	18729.4006730137	0.478530057897492	6557.01566975667
"17"	1655378069.9812	19587.5745984927	26280.2445932001	263.531466698704	18699.1426860721	0.315601446952596	6062.82276979825	284.845694352019	26103.8877493743	0.370779721095964	7676.53166802981
"18"	1655380469.08647	19153.5613180766	27133.4941200469	247.559618314057	17867.9729853983	0.121131708637849	5076.1826268216	249.696456903017	20556.1466379734	0.0656571990988733	5980.25436789557
"19"	1655382869.41604	20542.6522020521	26658.3447633319	256.578869069649	20705.612292698	0.121814443611951	5151.71467500877	259.968452720979	24423.000675622	0.207747045096041	7058.93103400813
"20"	1655385176.18672	19943.3421429387	26778.9950223453	239.713578060129	20220.3933733783	0.920394857347628	5144.5593889142	234.975760574366	18667.3244085566	0.487820514394352	5587.82840840932
"21"	1655387691.14536	20207.1346383318	26996.1534308058	241.293297482251	20442.5329766888	0.530798014776063	4922.32877190237	256.277521526292	18363.3857956769	0.427299490282068	6072.17201651141
"22"	1655390089.74687	20088.8772915035	27457.8295272479	274.117121020134	18643.3392367064	0.438368264048613	5317.76541878052	274.339137814508	18729.5697207706	0.498039329191245	6263.8653815543
"23"	1655392489.15539	19738.341952304	26902.5491241038	248.821224146284	16913.0702216935	0.484593040730219	5231.97097428909	293.022004612411	21220.891061695	1.00941477293007	7774.74212770689
"24"	1655394887.59148	19989.3339854418	26973.0259215683	257.136625937926	18414.6054058536	0.647342985983592	5682.42276352556	280.987190387554	20683.353598315	0.924849756200779	7571.5802622922
"25"	1655397286.79449	19641.0883289589	26356.6331183669	248.556578890179	16857.431360493	0.562548501341512	5716.08243675126	272.385851798259	20214.5975000877	0.815818861188451	7349.48865105069
"26"	1655399685.38722	20068.9891606815	26666.2477990938	264.646900223794	31624.3875775522	0.809545260044508	6535.57152330148	250.482685818373	21172.8758066982	0.679386355394855	5718.25864912349
"27"	1655402083.90601	20015.0700414448	26749.0405429672	233.22049204061	18593.101861279	0.610763629748697	4762.6651295386	268.58216316662	23018.4309625043	0.718548268052647	5759.21033673983
"28"	1655404483.71303	20002.9903735146	26806.8855089152	258.789343613367	20675.8114108306	0.556226442750963	4877.22849185277	261.796251610806	21304.0563648455	0.59510429275752	6023.05997911565
