""	"M_Time_S5"	"M_Time_S6"	"M_Time_BGr"	"M_Time_BGt"	"M_NH3_S5"	"M_N2O_S5"	"M_CO2_S5"	"M_CH4_S5"	"M_NH3_S6"	"M_N2O_S6"	"M_CO2_S6"	"M_CH4_S6"	"M_NH3_BGr"	"M_N2O_BGr"	"M_CO2_BGr"	"M_CH4_BGr"	"M_NH3_BGt"	"M_N2O_BGt"	"M_CO2_BGt"	"M_CH4_BGt"	"M_H2O_S5"	"M_H2O_S6"	"M_H2O_BGr"	"M_H2O_BGt"
"1"	NaN	2022-06-01 02:20:18.182957	2022-06-01 02:10:19.451128	2022-06-01 02:30:18.508772	NA	NA	NA	NA	6833.88851800376	0.374808155499248	1415.98597183301	40.1043713649774	57.7613528337293	0.337430584546491	426.056891566592	2.24941363758145	89.9666430924637	0.339005940912556	418.159806557343	2.27005547579098	NA	1.03960523949183	0.84686010565797	0.947714180823033
"2"	2022-06-01 02:40:18.834586	2022-06-01 03:00:18.223058	2022-06-01 02:50:17.867168	2022-06-01 03:10:17.152882	5613.29074946266	0.373232289427018	1499.77731991604	38.6262932542381	6949.65157034261	0.380096087186491	1403.41410891629	37.5006542672982	60.4255120463985	0.338947844005288	426.133978888622	2.13350425022281	90.7571943799975	0.339277212843409	420.965297617845	2.30637559217469	1.07185505610499	1.07405622560526	0.858994531269223	0.945757214029624
"3"	2022-06-01 03:20:18.110276	2022-06-01 03:40:17.170426	2022-06-01 03:30:17.649123	2022-06-01 03:50:17.373434	5858.70580745489	0.377945963401805	1510.70597396491	40.7480127840902	6408.95628716266	0.378025624496216	1292.74712475263	36.2570835638221	57.2292224482506	0.338212476649148	427.50450827594	2.18529177493333	90.4012525579098	0.339889906453609	423.498022143283	2.31992407283509	1.06918250700326	1.01795590849313	0.856474068530727	0.94780167359193
"4"	2022-06-01 04:00:17.634085	2022-06-01 04:20:16.874687	2022-06-01 04:10:16.974937	2022-06-01 04:30:15.473684	6032.79082722456	0.37840344806995	1459.11396371604	40.5062187394035	6848.36214813885	0.383346950677995	1504.20446865489	47.2249117171579	58.3750083948797	0.337689276024987	418.453533217544	2.37727525686065	91.5515932811303	0.339204007013058	422.087088119749	2.35078720788396	1.09614810158496	1.07665472168396	0.879018735419875	0.950532537391353
"5"	2022-06-01 04:40:17.122807	2022-06-01 05:00:15.072682	2022-06-01 04:50:17.566416	2022-06-01 05:10:16.466165	6132.51989625589	0.377352678308496	1415.53564649549	39.4146875047318	7027.13012436516	0.380726793977669	1462.25130427243	44.4855644177143	58.1369170334085	0.338394060300551	417.647861429348	2.35191546619373	92.6196515478922	0.338216915078446	424.27295969218	2.40419665312857	1.07025216781203	1.07234047573208	0.875661188060852	0.95126063865416
"6"	2022-06-01 05:20:14.508772	2022-06-01 05:40:15.022556	2022-06-01 05:30:16.130326	2022-06-01 05:50:15.9599	6238.63871679875	0.379697485733108	1451.19861203409	40.9398788573885	7063.3860358396	0.382389342581228	1438.10148101955	49.6590375851153	61.5380127542982	0.336837103040376	415.402851722707	2.35168062503358	94.8290384476817	0.339941578518647	423.473193161053	2.4007644873183	1.10111028308897	1.07148311850802	0.902866433884812	0.95275975886411
"7"	2022-06-01 06:00:15.41604	2022-06-01 06:20:15.523809	2022-06-01 06:10:15.16792	2022-06-01 06:30:13.904762	5712.66844616917	0.38668175944985	1826.80870537343	246.714221541654	7554.52995735163	0.391623218833203	1173.99976738581	22.8005971476216	83.3948752348321	0.338207705165213	413.854353828471	2.91891662464436	100.484620457393	0.339063572863885	421.582931402155	2.54721743470977	1.1393998582015	1.0991990783797	0.944525937244185	0.96034217200792
"8"	2022-06-01 06:40:15.62406	2022-06-01 07:00:13.283208	2022-06-01 06:50:14.238095	2022-06-01 07:10:13.112782	7283.65965296642	0.39145380526985	1532.14907325539	27.7992175280276	6210.39004648622	0.379223690244962	1221.70595414622	23.4052350820501	102.742882631353	0.337606317527193	409.581332679649	3.71800314712957	101.964330919514	0.340627074205263	419.584622345965	2.51066019242682	1.21361088585689	1.30540527937093	1.02610373920777	0.976053185345489
"9"	2022-06-01 07:20:13.551378	2022-06-01 07:40:12.235589	2022-06-01 07:30:12.706767	2022-06-01 07:50:15.065163	5171.46954786491	0.366521934288997	1103.12565811386	14.1945635208865	6411.09137352281	0.375827464124511	1054.25258710669	14.0392919581203	110.912827601529	0.337695588232907	397.64614094198	2.14454322010576	101.454325239298	0.339107160223759	413.915009951178	2.41559752250526	1.28702395776942	1.19941064475113	1.06883747354436	0.991203374304536
"10"	2022-06-01 08:00:13.899749	2022-06-01 08:20:13.711779	2022-06-01 08:10:13.674186	2022-06-01 08:30:13.150376	5596.88313606416	0.365740439569424	1111.67150499652	12.4427430111135	6990.21109101754	0.379123489300827	1197.74120079321	15.5531252459694	128.485386856692	0.339048392670025	398.354515219173	2.17283728587669	102.304153101088	0.337048884072632	407.177046330075	2.30963549376642	1.27059114013985	1.2505014455203	1.04313672908371	0.996233605237569
