"time" "slurry_mass" "wash_water"
"1" 0 11633.87368 0
"2" 0.270833333333333 11633.87368 0
"3" 12.4895833333333 25382.99712 0
"4" 19.5625 33843.99616 0
"5" 26.5625 43362.62008 0
"6" 27.2395833333333 44283.3203103615 0
"7" 27.2986111111111 8460.99904 0
"8" 33.59375 25382.99712 0
"9" 40.3020833333333 34901.62104 0
"10" 47.3854166666667 46535.49472 0
"11" 54.3194444444444 58169.3684 0
"12" 55.25 61342.24304 0
"13" 55.3506944444444 10576.2488 0
"14" 61.3715277777778 23267.74736 0
"15" 68.3229166666667 31728.7464 0
"16" 69.2361111111111 33843.99616 0
"17" 69.2638888888889 33908.3383580367 0
"18" 69.2916666666667 8460.99904 0
"19" 75.6666666666667 29613.49664 0
"63" 76 29613.497 6406.40928109547
"20" 77.5597222222222 29613.49664 0
"21" 82.3958333333333 27498.24688 0
"22" 82.6041666666667 27498.24688 0
"23" 95.25 27498.24688 0
"24" 95.2708333333333 12691.49856 0
"25" 103.395833333333 14806.74832 0
"26" 110.395833333333 21152.4976 0
"27" 117.402777777778 23267.74736 0
"28" 117.479166666667 23290.8075655087 0
"29" 117.541666666667 10576.2488 0
"30" 125.416666666667 21152.4976 0
"31" 131.416666666667 27498.24688 0
"32" 138.416666666667 42304.9952 0
"33" 145.4375 50765.99424 0
"34" 145.46875 50803.6544731109 0
"35" 145.541666666667 10576.2488 0
"36" 159.354166666667 31728.7464 0
"37" 159.4375 31856.3632784354 0
"38" 159.5 6345.74928 0
"39" 166.354166666667 23267.74736 0
"40" 173.395833333333 27498.24688 0
"41" 179.3125 28325.4794176268 0
"64" 180 28325.479 6404.85745614035
"42" 186.5 12691.49856 0
"43" 187.416666666667 12691.49856 0
"44" 194.541666666667 27498.24688 0
"45" 201.333333333333 33843.99616 0
"46" 208.447916666667 40189.74544 0
"47" 208.489583333333 40226.9094182104 0
"48" 208.496527777778 10576.2488 0
"49" 215.534722222222 23267.74736 0
"50" 222.520833333333 35959.24592 0
"51" 229.416666666667 46535.49472 0
"52" 236.333333333333 57111.74352 0
"53" 236.416666666667 57239.1682043384 0
"54" 236.46875 31728.7464 0
"55" 243.395833333333 42304.9952 0
"56" 249.729166666667 54996.49376 0
"57" 249.739583333333 10576.2488 0
"58" 257.461805555556 27498.24688 0
"59" 271.604166666667 52881.244 0
"60" 277.673611111111 16921.99808 0
"61" 280.541666666667 19037.24784 0
"62" 280.625 19037.24784 0
