"time" "slurry_mass" "wash_water"
"1" 0 9518.62392 0
"2" 0.270833333333333 9518.62392 0
"3" 8.48263888888889 16921.99808 0
"4" 15.5625 27498.24688 0
"5" 22.5625 42304.9952 0
"6" 23.2395833333333 43525.6325460937 0
"7" 23.2986111111111 6345.74928 0
"8" 29.5902777777778 22210.12248 0
"9" 36.3055555555556 33843.99616 0
"10" 43.3888888888889 45477.86984 0
"11" 50.3194444444444 57111.74352 0
"12" 51.2916666666667 59226.99328 0
"13" 51.3472222222222 8460.99904 0
"14" 57.375 27498.24688 0
"15" 64.3263888888889 42304.9952 0
"16" 65.2395833333333 44420.24496 0
"17" 65.2916666666667 8460.99904 0
"18" 73.5597222222222 29613.49664 0
"19" 78.3958333333333 46535.49472 0
"110" 79 46535.495 7071.47782333209
"20" 84.5833333333333 46535.49472 0
"21" 92.4166666666667 10576.2488 0
"22" 92.5833333333333 10576.2488 0
"23" 99.3958333333333 14806.74832 0
"24" 106.520833333333 21152.4976 0
"25" 113.402777777778 25382.99712 0
"26" 113.479166666667 25429.9552377777 0
"27" 113.541666666667 21152.4976 0
"28" 121.416666666667 29613.49664 0
"29" 129.416666666667 33843.99616 0
"30" 134.416666666667 44420.24496 0
"31" 141.4375 52881.244 0
"32" 141.489583333333 52963.727742821 0
"33" 141.552083333333 10576.2488 0
"34" 155.354166666667 33843.99616 0
"35" 155.479166666667 34054.7229285407 0
"36" 155.5 6345.74928 0
"37" 162.354166666667 24325.37224 0
"38" 169.548611111111 35959.24592 0
"39" 186.541666666667 46716.0152741648 0
"40" 191.229166666667 47169.3425482344 0
"210" 192 47169.343 5024.31495809155
"41" 196.479166666667 47169.3425482344 0
"42" 196.5625 12691.49856 0
"43" 204.447916666667 33843.99616 0
"44" 211.534722222222 48650.74448 0
"45" 218.541666666667 57111.74352 0
"46" 225.416666666667 67687.99232 0
"47" 225.472222222222 67773.4569567727 0
"48" 225.493055555556 12691.49856 0
"49" 232.46875 25382.99712 0
"50" 239.395833333333 40189.74544 0
"52" 253.458333333333 42304.9952 0
"53" 253.517361111111 42304.9952 0
"54" 253.520833333333 14806.74832 0
"55" 267.451388888889 44420.24496 0
"56" 267.5625 16921.99808 0
"57" 273.645833333333 25382.99712 0
"58" 277.395833333333 27498.24688 0
"310" 279 27498.247 7091.4625
"59" 281.458333333333 27498.24688 0
"111" 281.46 27498.24688 0
"211" 281.54 8460.99904 0
"311" 316.5 50765.99424 0
"410" 316.6 8460.99904 0
"51" 344.48 33843.99616 0
"61" 344.58 8460.99904 0
"71" 358.48 31728.7464 0
"81" 358.58 10576.2488 0
