time,wash_water
0,0
0.270833333333333,0
8.48263888888889,0
15.5625,0
22.5625,0
23.2395833333333,0
23.2986111111111,0
29.5902777777778,0
36.3055555555556,0
43.3888888888889,0
50.3194444444445,0
51.2916666666667,0
51.3472222222222,0
57.375,0
64.3263888888889,0
65.2395833333333,0
65.2916666666667,0
73.5597222222222,0
78.3958333333333,0
79,28285.9112933284
84.5833333333333,0
92.4166666666667,0
92.5833333333333,0
99.3958333333333,0
106.520833333333,0
113.402777777778,0
113.479166666667,0
113.541666666667,0
121.416666666667,0
129.416666666667,0
134.416666666667,0
141.4375,0
141.489583333333,0
141.552083333333,0
155.354166666667,0
155.479166666667,0
155.5,0
162.354166666667,0
169.548611111111,0
186.541666666667,0
191.229166666667,0
192,20097.2598323662
196.479166666667,0
196.5625,0
204.447916666667,0
211.534722222222,0
218.541666666667,0
225.416666666667,0
225.472222222222,0
225.493055555556,0
232.46875,0
239.395833333333,0
253.458333333333,0
253.517361111111,0
253.520833333333,0
267.451388888889,0
267.5625,0
273.645833333333,0
277.395833333333,0
279,28365.85
281.458333333333,0
281.46,0
281.54,0
316.5,0
316.6,0
344.48,0
344.58,0
358.48,0
358.58,0
