time,CH4_emission_manure,CH4_emission_total,temperature_manure,slurry_mass,VFA,pH,SectionID
0,1435.94118233803,1697.29579289703,14.0625962999132,9518.62392,2.63046284118908,6.99,5
0.270833333333333,,,,9518.62392,,,5
1,2101.15974823889,2372.08618520614,14.4445289442274,,,,5
2,2220.7915333986,2501.14324595312,14.7186147732205,,,,5
3,1953.79392350736,2243.49581258038,15.5625210684317,,,,5
4,2121.62775907888,2420.7702108772,16.4286720106337,,,,5
5,2037.03367069669,2345.61664714087,16.9943216055411,,,,5
6,2329.95164682827,2647.97510641424,17.5027706796152,,,,5
7,2471.10394792146,2798.56807026178,18.003672462746,,,,5
8,2856.35747005169,3193.26228278631,17.9871875904225,,2.63046284118908,,5
8.48263888888889,,,,16921.99808,,,5
9,3325.08596550349,3670.27593096035,17.8119116889106,,,,5
10,3001.69190635603,3353.75397877881,17.6535178855613,,,,5
11,2919.1061773358,3280.64456547534,18.1240318919994,,,,5
12,3613.66032419742,3980.06682169514,17.5036644377532,,,,5
13,3492.26835193739,3865.40218419395,17.8191610604745,,,,5
14,4126.81845823284,4506.79100768485,17.7833114284939,,,,5
15,4307.76058038843,4694.52521140372,17.5810241699219,,,,5
15.5625,,,,27498.24688,,,5
16,4448.76287297286,4842.27294574098,17.5510336190683,,,,5
17,4260.91602794861,4659.77247339521,17.3186565031829,,,,5
18,4506.99745752721,4910.78218104247,17.4063441071687,,,,5
19,5502.52903753199,5912.04074371468,17.3999476028476,,,,5
20,5604.17231047763,6019.31844148816,17.4771496129919,,,,5
21,5356.82746701781,5777.56703874463,18.2940445511429,,,,5
22,5712.3191613488,6138.61096410502,18.1228402144821,,,6.99,5
22.5625,,,,42304.9952,,,5
23,4249.16354249363,4678.03693806592,17.7907594129774,,,,5
23.2395833333333,,,,43525.6325460937,,,5
23.2986111111111,,,,6345.74928,,,5
24,4226.33349020494,4657.81459227466,17.6465664333768,,,,5
25,4085.75595645542,4522.5937824123,17.8874839048032,,,,5
26,4066.79271289443,4508.154542818,18.4770663565176,,,,5
27,4376.52660914945,4821.85898242326,18.5128166820385,,,,5
28,5092.7643130521,5542.15636483198,18.4305909333406,,,,5
29,5980.05406015351,6415.29302516118,17.9443865062572,,,,5
