Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
05/01/2023 00.04.12						13,68	0,	0,44		0,			14,40	79,3	1,95	9,87	25,5			14,81	73,9	0,71	3,	0,				16,25	86,9	2,47	8,51	25,5				3,90	95,4					
05/01/2023 00.09.11						14,06	0,	0,44		0,			14,27	78,6	1,86	9,87	25,5			14,44	72,8	0,69	3,	0,				16,25	87,4	2,54	8,29	25,5				3,83	95,6					
05/01/2023 00.14.13						16,75	0,	0,49		25,55			14,33	78,5	1,79	9,86	25,5			14,06	72,	0,58	1,59	0,				15,81	87,	8,66	8,19	25,5				3,83	95,5					
05/01/2023 00.19.11						18,37	0,	0,5		0,			14,33	77,4	1,83	9,86	25,5			13,69	71,1	0,48	0,08	0,				16,00	87,4	9,53	7,91	25,5				3,71	95,6					
05/01/2023 00.24.14						15,81	0,	0,45		0,			14,27	77,1	1,73	9,86	25,5			13,50	71,9	2,41	2,6	25,67				15,75	86,5	2,97	7,84	25,5				3,65	95,6					
05/01/2023 00.29.13						14,31	0,	0,44		0,			14,46	77,	1,69	9,86	25,5			13,94	74,4	2,66	8,28	25,67				16,18	87,	1,84	7,73	25,5				3,58	96,					
05/01/2023 00.34.13						15,68	0,	0,52		25,55			14,58	77,4	1,51	9,86	25,5			14,06	73,6	2,02	8,05	25,67				16,25	86,6	8,46	7,61	25,5				3,46	96,					
05/01/2023 00.39.12						18,31	0,	0,48		25,55			14,71	76,6	1,56	9,86	25,5			14,13	74,4	2,18	7,84	25,67				16,12	85,7	9,52	7,55	25,5				3,52	95,9					
05/01/2023 00.44.13						16,75	0,	0,44		0,			14,90	76,6	1,55	9,86	25,5			14,38	74,4	1,88	7,71	25,67				16,50	85,8	3,17	7,45	25,5				3,58	95,6					
05/01/2023 00.49.13						14,31	0,	0,44		0,			14,90	77,4	1,43	9,87	25,5			14,69	73,7	2,07	7,54	25,67				16,43	85,4	1,73	7,45	25,5				3,40	95,5					
05/01/2023 00.54.12						14,00	0,	0,48		25,55			14,90	76,7	1,39	9,86	25,5			14,75	73,3	1,78	7,54	25,67				16,56	85,	8,37	7,4	25,5				3,40	95,4					
05/01/2023 00.59.12						17,68	0,	0,51		25,55			14,96	76,8	1,45	9,86	25,5			14,94	73,2	1,9	7,32	25,67				16,43	84,1	9,54	7,42	25,5				3,27	93,2					
05/01/2023 01.04.12						16,56	0,	0,44		0,			14,96	76,2	1,33	9,86	25,5			15,06	72,	1,78	7,34	25,67				16,87	84,	2,97	7,39	25,5				3,40	95,5					
05/01/2023 01.09.13						14,31	0,	0,44		0,			15,15	75,7	1,39	9,86	25,5			15,13	72,4	1,8	7,33	25,67				16,75	83,9	2,07	7,39	25,5				3,33	95,5					
05/01/2023 01.14.12						14,25	0,	0,44		0,			15,08	75,5	1,42	9,86	25,5			15,19	71,2	2,12	7,33	25,67				16,75	83,8	1,71	7,47	25,5				3,33	95,6					
05/01/2023 01.19.13						14,62	0,	0,48		25,55			15,02	75,	1,4	9,86	25,5			15,19	71,2	2,06	7,32	25,67				16,81	84,1	8,51	7,45	25,5				3,40	95,6					
05/01/2023 01.24.11						18,25	0,	0,52		25,55			15,33	77,3	1,26	9,86	25,5			15,31	71,7	1,6	7,34	25,67				16,75	83,5	2,07	7,53	25,5				3,27	95,5					
05/01/2023 01.29.12						18,56	0,	0,44		0,			15,40	76,	1,36	9,87	25,5			15,50	71,2	1,73	7,33	25,67				16,75	83,4	3,23	7,56	25,5				3,40	95,6					
05/01/2023 01.34.14						15,25	0,	0,44		0,			15,40	75,9	1,49	9,87	25,5			15,50	70,7	2,13	7,34	25,67				17,06	83,4	2,67	7,67	25,5				3,21	95,2					
05/01/2023 01.39.11						12,50	0,	0,44		0,			15,58	75,9	1,45	9,87	25,5			15,50	70,8	2,16	7,33	25,67				16,62	82,3	2,22	7,65	25,5				3,27	95,1					
05/01/2023 01.44.12						13,81	0,	0,44		0,			15,46	74,6	1,49	9,87	25,5			15,69	70,3	2,08	7,44	25,67				16,62	82,7	2,22	7,72	25,5				3,21	95,2					
05/01/2023 01.49.12						16,75	0,	0,49		25,55			15,27	75,	1,4	9,86	25,5			15,75	69,6	1,86	7,65	25,67				16,81	83,4	9,1	7,76	25,5				3,27	95,1					
05/01/2023 01.54.13						18,31	0,	0,45		0,			15,40	75,4	1,54	9,86	25,5			15,63	69,2	2,16	7,65	25,67				16,50	82,4	2,27	7,65	25,5				3,21	95,2					
05/01/2023 01.59.12						15,31	0,	0,44		0,			15,27	75,8	1,33	9,87	25,5			15,44	69,2	2,14	7,65	25,67				16,56	82,3	2,94	7,62	25,5				3,15	94,8					
