Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
26/10/2022 13.34.22						17,87	101,1	2,06	9,53	0,			18,33	83,1	2,11	9,85	0,			20,00	0,	0,71	3,15	0,				17,43	92,2	1,71	7,33	25,5				13,15	92,4					
26/10/2022 13.39.09						17,81	101,1	2,15	9,55	0,			18,77	85,	2,48	9,85	0,			20,00	0,	0,65	3,15	0,				17,50	92,6	1,91	7,3	25,5				13,21	92,4					
26/10/2022 13.44.10						18,18	101,1	2,09	9,54	0,			18,52	83,4	2,32	9,84	0,			20,06	0,	0,69	3,43	0,				17,43	92,6	1,82	7,3	25,5				13,21	92,3					
26/10/2022 13.49.09						18,25	101,1	1,99	9,52	0,			18,33	83,	2,31	9,85	0,			20,00	0,	0,71	3,54	0,				17,43	91,9	1,99	7,37	25,5				13,21	92,4					
26/10/2022 13.54.10						18,12	101,1	2,16	9,55	0,			18,33	83,4	2,62	9,84	0,			19,88	0,	0,69	3,53	0,				17,06	91,5	2,21	7,37	25,5				13,33	92,4					
26/10/2022 13.59.09						18,12	101,1	2,04	9,54	0,			18,40	82,7	2,39	9,85	0,			19,75	0,	0,71	3,28	0,				17,00	92,1	1,72	7,39	25,5				13,21	92,3					
26/10/2022 14.04.10						18,00	101,1	1,93	9,54	0,			18,58	83,5	2,36	9,84	0,			19,81	0,	0,67	2,98	0,				17,18	92,2	1,84	7,3	25,5				13,33	92,4					
26/10/2022 14.09.09						18,43	101,1	2,08	9,53	0,			18,77	83,4	2,41	9,85	0,			19,88	0,	0,65	2,97	0,				16,81	91,8	1,73	7,36	25,5				13,33	92,4					
26/10/2022 14.14.10						18,31	101,1	2,04	9,52	0,			18,71	84,6	2,33	9,85	0,			19,94	0,	0,64	2,97	0,				17,06	92,1	1,91	7,36	25,5				13,46	92,3					
26/10/2022 14.19.10						18,12	101,1	1,96	9,55	0,			18,52	83,4	2,27	9,85	0,			19,88	0,	0,67	2,72	0,				17,06	91,9	2,05	7,34	25,5				13,40	92,4					
26/10/2022 14.24.10						18,25	101,1	2,27	9,53	0,			18,52	85,	2,26	9,85	0,			20,00	0,	0,66	2,73	0,				17,25	92,3	1,96	7,33	25,5				13,46	92,4					
26/10/2022 14.29.11						18,25	101,1	2,11	9,55	0,			18,58	84,2	2,39	9,85	0,			20,19	0,	0,64	2,73	0,				17,00	92,2	1,88	7,35	25,5				13,46	92,4					
26/10/2022 14.34.09						18,31	101,1	2,18	9,53	0,			18,58	84,5	2,44	9,85	0,			20,13	0,	0,65	2,72	0,				16,81	91,8	1,73	7,29	25,5				13,52	92,4					
26/10/2022 14.39.11						18,56	101,1	2,2	9,52	0,			18,52	84,3	2,43	9,85	0,			19,88	0,	0,65	2,9	0,				16,93	91,8	2,01	7,36	25,5				13,52	92,4					
26/10/2022 14.44.10						18,18	101,1	2,1	9,54	0,			18,40	84,3	2,45	9,86	0,			20,06	0,	0,69	3,12	0,				17,00	91,8	1,98	7,31	25,5				13,46	92,4					
26/10/2022 14.49.11						18,25	101,1	2,15	9,56	0,			18,46	83,8	2,52	9,85	0,			20,06	0,	0,66	3,1	0,				17,00	92,2	1,86	7,35	25,5				13,52	92,4					
26/10/2022 14.54.09						18,06	101,1	2,05	9,54	0,			18,33	84,	2,3	9,86	0,			20,13	0,	0,67	3,12	0,				16,93	91,8	1,96	7,37	25,5				13,52	92,4					
26/10/2022 14.59.11						18,37	101,1	2,31	9,02	0,			18,65	84,7	2,14	9,85	0,			19,94	0,	0,67	3,32	0,				17,00	91,8	1,73	7,32	25,5				13,52	92,4					
26/10/2022 15.04.11						18,43	101,1	2,15	9,55	0,			18,96	84,6	2,33	9,84	0,			19,75	0,	0,69	3,32	0,				16,81	91,9	1,91	7,36	25,5				13,46	92,3					
26/10/2022 15.09.10						18,68	101,1	2,15	9,54	0,			19,21	84,4	2,31	9,84	0,			19,69	0,	0,67	3,09	0,				17,12	92,4	1,8	7,32	25,5				13,40	92,2					
26/10/2022 15.14.11						18,31	101,1	2,13	9,23	0,			19,21	84,8	2,28	9,85	0,			19,69	0,	0,65	3,08	0,				17,00	91,9	1,98	7,31	25,5				13,40	92,3					
26/10/2022 15.19.09						18,37	101,1	1,85	9,53	0,			19,08	84,2	2,27	9,85	0,			19,75	0,	0,68	2,87	0,				17,06	92,5	1,81	7,38	25,5				13,40	92,1					
26/10/2022 15.24.10						18,18	101,1	2,11	9,54	0,			19,15	85,	2,22	9,85	0,			19,81	0,	0,69	2,88	0,				17,43	92,4	1,83	7,36	25,5				13,40	92,2					
