Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
13/12/2022 00.04.11						13,50	0,	1,16	5,78	25,55			17,21	81,3	0,9	5,43	25,5			17,25	74,8	1,03	4,85	25,67				13,68	89,3	1,24	6,12	25,5				-5,85	94,					
13/12/2022 00.09.10						13,31	0,	1,2	5,56	25,55			17,15	80,7	0,89	5,42	25,5			17,44	74,9	1,02	4,51	25,67				13,87	88,6	1,35	5,98	25,5				-5,29	94,8					
13/12/2022 00.14.12						13,68	0,	1,14	5,52	25,55			17,65	80,	0,93	5,43	25,5			17,63	74,6	0,99	4,51	25,67				14,00	87,8	1,41	5,87	25,5				-5,17	94,9					
13/12/2022 00.19.10						14,12	0,	1,14	5,45	25,55			17,83	79,8	0,87	5,64	25,5			17,81	74,	1,	4,51	25,67				14,31	87,4	1,3	5,77	25,5				-5,17	94,6					
13/12/2022 00.24.12						14,75	0,	1,3	5,54	25,55			17,96	78,5	0,9	5,64	25,5			17,88	73,2	1,01	4,52	25,67				14,25	87,	1,26	5,68	25,5				-5,79	94,					
13/12/2022 00.29.11						14,62	0,	1,16	5,56	25,55			17,96	78,5	0,94	5,64	25,5			18,06	73,4	0,99	4,36	25,67				14,56	86,6	1,29	5,61	25,5				-6,17	93,6					
13/12/2022 00.34.11						14,75	0,	1,16	5,56	25,55			17,58	77,	0,95	5,64	25,5			18,38	73,6	0,96	4,13	25,67				14,31	85,8	1,2	5,57	25,5				-6,35	93,8					
13/12/2022 00.39.10						15,25	0,	1,11	5,56	25,55			17,58	78,4	0,94	5,64	25,5			18,38	72,7	0,95	4,12	25,67				14,68	85,8	1,26	5,56	25,5				-6,35	94,4					
13/12/2022 00.44.10						15,18	0,	1,21	5,67	25,55			17,46	77,4	0,95	5,84	25,5			18,50	72,4	0,96	4,13	25,67				14,68	85,	1,2	5,57	25,5				-6,29	94,8					
13/12/2022 00.49.10						15,31	0,	1,19	5,83	25,55			17,27	77,	0,98	5,84	25,5			18,50	72,4	1,02	3,88	25,67				15,06	85,8	1,25	5,57	25,5				-6,92	94,4					
13/12/2022 00.54.11						15,12	0,	1,26	5,87	25,55			17,33	77,	0,95	5,84	25,5			18,63	72,5	0,94	3,88	25,67				15,18	84,7	1,26	5,73	25,5				-7,10	94,8					
13/12/2022 00.59.11						14,75	0,	1,21	5,95	25,55			17,33	77,8	1,02	6,36	25,5			18,88	71,7	0,99	3,89	25,67				15,06	84,1	1,26	5,81	25,5				-6,23	95,6					
13/12/2022 01.04.11						14,93	0,	1,3	6,	25,55			17,21	76,9	1,07	6,36	25,5			19,00	71,8	0,96	3,88	25,67				15,31	83,6	1,31	5,8	25,5				-6,42	95,7					
13/12/2022 01.09.11						14,75	0,	1,17	5,89	25,55			17,08	76,3	1,04	6,35	25,5			19,25	71,6	1,01	3,89	25,67				15,43	83,8	1,26	5,95	25,5				-6,10	96,					
13/12/2022 01.14.10						14,62	0,	1,23	5,88	25,55			17,40	75,7	1,05	6,36	25,5			19,44	71,6	0,95	3,88	25,67				15,25	82,3	1,28	6,	25,5				-6,29	95,9					
13/12/2022 01.19.12						14,06	0,	1,25	5,89	25,55			17,21	75,8	1,	6,36	25,5			19,56	71,2	0,98	4,07	25,67				15,00	82,6	1,3	5,98	25,5				-5,92	96,					
13/12/2022 01.24.11						14,56	0,	1,18	5,9	25,55			16,96	75,4	0,99	6,35	25,5			19,69	70,8	0,95	4,25	25,67				15,06	82,3	1,22	6,	25,5				-6,04	95,2					
13/12/2022 01.29.11						14,18	0,	1,18	5,9	25,55			16,71	74,2	1,04	6,36	25,5			19,75	70,4	0,95	4,46	25,67				14,75	81,6	1,37	5,99	25,5				-6,29	94,8					
13/12/2022 01.34.11						14,31	0,	1,18	5,9	25,55			16,46	75,	0,98	6,36	25,5			19,69	70,3	0,99	4,46	25,67				14,75	81,6	1,26	5,99	25,5				-6,23	94,5					
13/12/2022 01.39.10						14,25	0,	1,18	5,91	25,55			16,65	75,9	0,85	5,51	25,5			19,81	70,	1,04	4,74	25,67				15,00	82,4	1,3	5,99	25,5				-6,42	94,4					
13/12/2022 01.44.11						14,68	0,	1,24	5,92	25,55			17,15	77,7	0,89	5,31	25,5			19,69	69,2	1,01	4,89	25,67				14,75	81,9	1,26	6,	25,5				-6,98	93,5					
13/12/2022 01.49.11						14,50	0,	1,25	6,05	25,55			17,52	77,8	0,88	5,31	25,5			19,38	68,	1,06	4,89	25,67				14,93	82,4	1,32	6,	25,5				-5,85	94,8					
