Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
03/01/2023 00.04.13						14,93	0,	0,45		0,			14,77	78,8	1,88	9,87	25,5			14,38	72,	0,56	0,11	0,				16,06	86,7	2,67	8,19	25,5				5,77	92,9					
03/01/2023 00.09.12						14,50	0,	2,82		25,55			14,83	78,2	2,16	9,87	25,5			14,31	72,4	0,48	0,	0,				15,81	86,4	8,46	7,96	25,5				5,83	92,7					
03/01/2023 00.14.13						14,56	0,	2,54		25,55			15,08	78,6	1,73	9,85	25,5			14,19	71,6	2,37	4,47	25,67				16,12	87,4	8,42	7,78	25,5				5,77	92,1					
03/01/2023 00.19.12						14,87	0,	2,12		25,55			15,15	77,4	1,57	9,86	25,5			14,38	73,5	2,34	8,85	25,67				16,18	86,8	8,21	7,72	25,5				5,83	92,					
03/01/2023 00.24.13						14,43	0,	2,17		25,55			15,08	76,7	1,7	9,86	25,5			14,38	74,	2,61	8,14	25,67				16,31	87,	1,88	7,6	25,5				5,77	92,4					
03/01/2023 00.29.13						14,62	0,	2,41		25,55			15,21	77,4	1,68	9,85	25,5			14,44	73,	2,46	8,14	25,67				16,50	87,4	7,85	7,45	25,5				5,83	92,4					
03/01/2023 00.34.12						14,75	0,	2,09		25,55			15,33	76,6	1,78	9,85	25,5			14,69	73,7	2,12	7,78	25,67				17,00	87,	7,67	7,52	25,5				5,90	92,6					
03/01/2023 00.39.12						14,81	0,	1,97		25,55			15,33	75,4	1,59	9,86	25,5			14,81	72,9	2,1	7,79	25,67				16,87	86,6	7,63	7,48	25,5				5,83	92,8					
03/01/2023 00.44.13						15,25	0,	1,94		25,55			15,65	76,7	1,56	9,85	25,5			14,94	72,5	2,01	7,8	25,67				16,68	85,8	7,53	7,44	25,5				5,83	93,2					
03/01/2023 00.49.13						15,50	0,	1,85		25,55			15,90	77,	1,53	9,85	25,5			15,19	72,8	1,94	7,79	25,67				17,00	85,1	2,01	7,44	25,5				5,90	93,7					
03/01/2023 00.54.11						15,75	0,	1,99		25,55			15,83	76,6	1,68	9,85	25,5			15,38	72,3	1,73	7,79	25,67				17,43	85,	7,66	7,44	25,5				5,77	94,					
03/01/2023 00.59.13						15,75	0,	1,99		25,55			15,77	76,4	1,72	9,85	25,5			15,56	72,5	1,97	7,62	25,67				17,37	84,	7,67	7,56	25,5				5,83	94,					
03/01/2023 01.04.12						15,50	0,	2,22		25,55			15,71	75,4	1,8	9,86	25,5			15,50	71,6	1,93	7,62	25,67				17,12	83,4	7,73	7,61	25,5				5,83	94,					
03/01/2023 01.09.12						15,62	0,	1,92		25,55			15,77	75,8	1,68	9,85	25,5			15,56	71,2	2,08	7,62	25,67				17,25	83,1	7,73	7,67	25,5				5,71	94,5					
03/01/2023 01.14.11						15,43	0,	2,14		25,55			15,96	75,4	1,67	9,85	25,5			15,69	71,3	2,3	7,62	25,67				17,06	83,	7,83	7,7	25,5				5,83	94,7					
03/01/2023 01.19.14						15,25	0,	1,96		25,55			15,71	75,	1,79	9,86	25,5			15,81	70,9	2,29	8,1	25,67				17,25	82,7	7,9	7,73	25,5				5,90	94,3					
03/01/2023 01.24.13						15,31	0,	2,12		25,55			15,52	75,	1,64	9,86	25,5			15,75	69,9	2,42	8,1	25,67				17,12	82,4	7,99	7,76	25,5				5,90	94,					
03/01/2023 01.29.12						15,50	0,	2,48		25,55			15,52	75,1	1,95	9,86	25,5			15,63	69,7	2,43	8,1	25,67				17,43	82,5	8,04	7,89	25,5				6,02	93,6					
03/01/2023 01.34.12						15,37	0,	2,27		25,55			15,58	75,4	1,9	9,85	25,5			15,56	69,6	2,56	8,1	25,67				17,50	82,4	8,09	7,95	25,5				5,90	93,6					
03/01/2023 01.39.11						15,18	0,	2,18		25,55			15,77	76,6	1,64	9,85	25,5			15,50	69,6	2,41	8,1	25,67				17,06	82,3	8,06	8,11	25,5				5,96	93,4					
03/01/2023 01.44.13						15,43	0,	2,46		25,55			15,71	75,	2,25	9,86	25,5			15,50	69,8	2,52	8,1	25,67				17,12	82,7	8,15	8,2	25,5				5,96	92,8					
03/01/2023 01.49.12						15,56	0,	2,12		25,55			15,58	74,8	2,21	9,85	25,5			15,31	69,2	2,75	8,1	25,67				17,06	82,3	8,06	8,12	25,5				6,15	92,1					
03/01/2023 01.54.13						15,37	0,	2,37		25,55			15,58	75,	1,94	9,85	25,5			15,19	69,4	2,51	8,34	25,67				16,62	81,4	8,25	8,18	25,5				6,21	91,3					
03/01/2023 01.59.12						15,62	0,	2,65		25,55			15,46	74,2	2,1	9,85	25,5			15,19	69,9	2,53	8,35	25,67				17,06	82,3	8,33	8,25	25,5				6,15	91,3					
