Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
12/11/2022 00.04.11						15,75	101,1	0,57	0,	25,55			16,58	84,3	2,35	9,84	0,			17,50	0,	0,56	1,34	0,				19,43	84,6	1,81	7,27	25,5				13,77	92,4					
12/11/2022 00.09.09						15,93	101,1	0,61	0,	25,55			16,77	85,	2,43	9,85	0,			17,63	0,	0,68	1,15	0,				19,50	84,8	1,79	7,28	25,5				13,77	92,3					
12/11/2022 00.14.11						16,00	101,1	0,62	0,	25,55			16,58	84,6	2,16	9,84	0,			17,63	0,	0,74	1,07	0,				19,62	84,6	1,98	7,27	25,5				13,77	92,1					
12/11/2022 00.19.09						16,06	101,1	0,52	0,	25,55			16,71	83,9	2,51	9,84	0,			17,69	0,	0,57	0,68	0,				19,75	84,8	1,91	7,27	25,5				13,77	92,2					
12/11/2022 00.24.11						16,06	101,1	0,68	0,	25,55			16,71	84,1	2,55	9,85	0,			17,63	0,	0,76	0,19	0,				19,93	84,6	1,83	7,28	25,5				13,77	92,					
12/11/2022 00.29.09						16,06	101,1	0,58	0,	25,55			16,90	85,4	2,46	9,84	0,			17,69	0,	0,58	0,2	0,				19,75	84,	1,78	7,29	25,5				13,77	91,8					
12/11/2022 00.34.11						16,12	101,1	0,52	0,	25,55			16,77	84,5	2,56	9,84	0,			17,69	0,	0,52	0,21	0,				19,62	84,2	1,62	7,27	25,5				13,77	91,6					
12/11/2022 00.39.09						14,87	101,1	0,59	0,	25,55			16,83	84,9	2,44	9,84	0,			17,63	0,	0,51	0,	0,				19,43	84,3	2,16	7,28	25,5				13,77	91,7					
12/11/2022 00.44.11						15,81	101,1	0,5	0,	25,55			17,02	85,1	2,71	9,84	0,			17,63	0,	0,56	0,	0,				19,37	84,7	1,73	7,28	25,5				13,71	91,7					
12/11/2022 00.49.11						15,81	101,1	0,6	0,	25,55			16,83	84,	2,44	9,85	0,			17,63	0,	0,48	0,	0,				19,50	84,8	1,85	7,29	25,5				13,71	91,8					
12/11/2022 00.54.10						15,87	101,1	0,67	0,	25,55			16,52	83,4	2,46	9,84	0,			17,63	0,	0,48	0,	0,				19,50	84,3	1,94	7,28	25,5				13,71	91,6					
12/11/2022 00.59.11						16,00	101,1	0,52	0,	25,55			16,71	84,2	2,29	9,84	0,			17,50	0,	0,48	0,	0,				19,62	84,2	2,04	7,27	25,5				13,71	91,7					
12/11/2022 01.04.10						16,00	101,1	0,71	0,	25,55			16,71	84,2	2,28	9,84	0,			17,63	0,	0,48	0,	0,				19,56	84,2	1,98	7,28	25,5				13,65	91,7					
12/11/2022 01.09.10						16,06	101,1	0,67	0,	25,55			16,58	83,4	2,39	9,84	0,			17,63	0,	2,83	8,58	25,67				19,50	84,2	1,71	7,28	25,5				13,71	91,7					
12/11/2022 01.14.10						16,00	101,1	0,49	0,	25,55			16,52	83,5	2,55	9,84	0,			17,63	0,	2,68	8,54	25,67				19,62	84,	2,02	7,26	25,5				13,71	91,6					
12/11/2022 01.19.10						14,81	101,1	0,54	0,	25,55			16,90	84,6	2,4	9,85	0,			17,69	0,	2,62	8,55	25,67				19,43	84,5	2,09	7,25	25,5				13,71	91,6					
12/11/2022 01.24.09						15,75	101,1	0,51	0,	25,55			16,58	83,8	2,35	9,83	0,			17,63	0,	2,55	8,54	25,67				19,37	84,2	1,84	7,26	25,5				13,71	91,6					
12/11/2022 01.29.11						15,87	101,1	0,52	0,	25,55			16,65	83,8	2,52	9,84	0,			17,69	0,	2,58	8,56	25,67				19,43	84,7	1,9	7,26	25,5				13,77	91,6					
12/11/2022 01.34.11						16,00	101,1	0,6	0,	25,55			16,77	83,9	2,5	9,84	0,			17,69	0,	2,53	8,56	25,67				19,43	84,2	1,97	7,26	25,5				13,77	91,6					
12/11/2022 01.39.09						16,00	101,1	0,49	0,	25,55			16,71	83,9	2,45	9,84	0,			17,75	0,	2,71	8,41	25,67				19,87	85,2	1,94	7,25	25,5				13,83	91,6					
12/11/2022 01.44.10						15,93	101,1	0,52	0,	25,55			16,71	83,9	2,37	9,84	0,			17,69	0,	2,61	8,18	25,67				20,00	84,2	1,96	7,25	25,5				13,77	91,6					
12/11/2022 01.49.09						16,00	101,1	0,57	0,	25,55			16,65	83,7	2,58	9,85	0,			17,75	0,	2,64	8,18	25,67				20,00	84,3	1,98	7,26	25,5				13,71	91,6					
12/11/2022 01.54.10						16,00	101,1	0,52	0,	25,55			16,58	83,4	2,32	9,84	0,			17,81	0,	2,46	8,19	25,67				20,00	84,1	2,12	7,26	25,5				13,71	91,6					
