Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
12/01/2023 00.04.12						14,93	0,	0,76		0,			14,96	78,	0,61	6,45	0,			13,94	74,4	1,96	8,12	0,				16,87	85,4	5,72	3,21	0,				6,08	94,8					
12/01/2023 00.09.12						14,75	0,	0,77		0,			14,77	77,1	0,63	6,25	0,			13,44	74,	1,63	7,81	0,				16,00	85,	5,25	2,96	0,				6,02	94,8					
12/01/2023 00.14.13						14,93	0,	0,72		0,			14,71	77,4	0,62	5,69	0,			13,31	75,3	1,37	7,3	0,				16,12	85,8	4,72	2,75	0,				5,96	95,					
12/01/2023 00.19.11						14,93	0,	0,73		0,			14,46	75,9	0,58	5,16	0,			13,44	75,4	1,26	6,64	0,				15,43	84,6	4,16	2,5	0,				5,96	95,					
12/01/2023 00.24.13						14,75	0,	0,72		0,			14,65	76,5	0,61	5,15	0,			13,69	75,3	0,99	6,35	0,				15,62	84,7	0,64	1,14	0,				5,90	95,1					
12/01/2023 00.29.12						14,81	0,	0,73		0,			14,58	76,2	0,6	5,16	0,			13,69	74,8	0,71	5,87	0,				15,75	84,6	2,98	0,	0,				5,83	95,2					
12/01/2023 00.34.13						14,87	0,	0,58		0,			14,65	76,8	0,59	5,16	0,			13,88	74,	0,78	5,58	0,				15,87	85,2	1,57	0,	0,				5,83	95,2					
12/01/2023 00.39.12						14,68	0,	0,45		0,			14,65	75,8	0,58	3,96	0,			14,00	73,6	0,7	4,95	0,				15,87	85,2	2,54	8,6	25,5				5,83	95,2					
12/01/2023 00.44.12						15,00	0,	0,44		0,			14,71	76,8	0,58	3,95	0,			14,06	72,8	0,7	4,5	0,				16,25	85,6	2,23	8,23	25,5				5,83	95,					
12/01/2023 00.49.13						14,56	0,	2,69		25,55			14,77	75,8	0,56	2,91	0,			14,13	72,4	0,72	4,06	0,				16,25	85,1	8,72	8,07	25,5				5,90	95,					
12/01/2023 00.54.12						14,62	0,	2,45		25,55			14,65	74,6	0,49	2,35	0,			14,19	72,	0,73	3,5	0,				16,25	84,6	2,32	7,91	25,5				5,90	94,8					
12/01/2023 00.59.12						14,68	0,	2,38		25,55			14,65	74,7	0,48	1,64	0,			14,13	72,	0,7	2,86	0,				16,56	85,	8,66	7,89	25,5				5,83	94,8					
12/01/2023 01.04.11						14,68	0,	2,56		25,55			14,65	75,5	0,47	1,32	0,			14,31	71,7	0,66	2,52	0,				16,87	84,6	8,62	7,91	25,5				5,90	94,9					
12/01/2023 01.09.13						14,75	0,	2,24		25,55			14,71	75,8	0,47	0,8	0,			14,19	71,2	0,58	1,14	0,				16,50	83,5	8,72	7,91	25,5				5,90	95,					
12/01/2023 01.14.11						15,18	0,	2,27		25,55			14,71	75,4	0,47	1,08	0,			14,31	71,1	0,57	1,15	0,				17,12	83,6	8,58	7,84	25,5				5,90	95,2					
12/01/2023 01.19.13						14,93	0,	2,48		25,55			14,77	75,3	0,47	0,75	0,			14,31	70,4	0,6	1,12	0,				17,12	83,3	8,56	7,82	25,5				5,90	95,2					
12/01/2023 01.24.12						15,43	0,	2,29		25,55			14,96	76,	0,47	0,76	0,			14,38	70,	0,55	0,8	0,				16,75	82,8	8,46	7,81	25,5				5,83	95,5					
12/01/2023 01.29.13						15,18	0,	2,49		25,55			15,02	76,6	0,47	0,75	0,			14,50	70,8	0,57	0,8	0,				17,06	83,8	8,45	7,82	25,5				5,83	95,6					
12/01/2023 01.34.13						15,18	0,	2,32		25,55			14,96	75,8	0,47	0,52	0,			14,56	69,9	0,5	0,59	0,				17,12	82,7	8,64	7,83	25,5				5,90	95,6					
12/01/2023 01.39.11						15,43	0,	2,36		25,55			15,08	75,	0,48	0,52	0,			14,56	69,5	0,49	0,61	0,				17,06	82,3	8,63	7,83	25,5				5,96	96,					
12/01/2023 01.44.13						15,68	0,	2,39		25,55			15,15	76,	0,47	0,09	0,			14,69	69,7	0,48	0,16	0,				17,00	82,	8,63	7,83	25,5				5,83	95,8					
12/01/2023 01.49.11						15,18	0,	2,49		25,55			15,08	75,4	0,47	0,84	0,			14,69	68,8	0,48	0,	0,				17,25	82,3	8,63	7,94	25,5				5,83	95,5					
12/01/2023 01.54.12						15,25	0,	2,33		25,55			15,08	74,9	0,47	0,84	0,			14,69	69,2	0,48	0,	0,				16,87	81,5	8,62	7,99	25,5				5,83	95,2					
12/01/2023 01.59.12						15,43	0,	2,58		25,55			15,21	74,7	0,49	0,84	0,			14,81	69,7	0,48	0,	0,				17,25	82,3	8,64	7,91	25,5				5,77	95,2					
