Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
29/01/2023 00.04.13						15,31	0,	0,84		0,			15,65	81,	0,64	5,91	0,			15,63	75,6	0,85	5,63	0,				18,37	87,1	3,57	8,24	25,5				4,77	96,1					
29/01/2023 00.09.11						15,25	0,	0,79		0,			15,15	80,1	0,61	5,57	0,			15,19	75,3	0,83	5,82	0,				17,12	85,8	3,72	8,19	25,5				4,77	96,2					
29/01/2023 00.14.12						15,00	0,	0,82		0,			14,83	80,6	0,64	5,36	0,			14,50	74,	0,87	5,82	0,				16,62	85,8	3,67	8,01	25,5				4,58	96,					
29/01/2023 00.19.12						14,68	0,	0,85		0,			14,52	78,3	0,62	5,36	0,			14,06	73,7	0,92	5,62	0,				16,06	85,8	3,39	7,82	25,5				4,58	96,					
29/01/2023 00.24.12						14,37	0,	0,6		0,			14,27	78,2	0,63	4,91	0,			13,81	73,8	0,81	5,62	0,				16,06	86,2	2,24	7,45	25,5				4,46	96,					
29/01/2023 00.29.12						14,25	0,	0,54		0,			14,08	78,6	0,64	3,99	0,			13,50	72,5	0,87	5,44	0,				16,06	86,5	1,9	7,34	25,5				4,40	96,					
29/01/2023 00.34.13						14,50	0,	0,45		0,			14,33	78,1	0,57	3,17	0,			13,38	73,5	0,78	5,09	0,				15,87	86,3	1,7	7,12	25,5				4,40	96,3					
29/01/2023 00.39.11						14,12	0,	2,54		25,55			14,33	77,8	0,52	2,19	0,			13,31	73,6	0,73	4,89	0,				16,12	86,6	8,64	7,07	25,5				4,46	96,4					
29/01/2023 00.44.13						14,25	0,	2,65		25,55			14,40	79,	0,47	0,75	0,			13,44	74,	0,76	4,28	0,				16,43	86,6	8,42	6,97	25,5				4,71	96,4					
29/01/2023 00.49.13						14,31	0,	2,69		25,55			14,33	77,8	0,48	0,56	0,			13,44	73,2	0,77	4,28	0,				16,31	86,2	8,3	6,78	25,5				4,77	96,4					
29/01/2023 00.54.12						14,50	0,	2,5		25,55			14,40	78,6	0,47	0,1	0,			13,44	72,8	0,84	4,02	0,				16,75	86,2	8,12	6,77	25,5				4,77	96,1					
29/01/2023 00.59.13						14,62	0,	2,31		25,55			14,33	77,7	0,47	0,09	0,			13,44	73,6	0,79	3,67	0,				16,62	85,7	8,06	6,57	25,5				4,77	96,2					
29/01/2023 01.04.11						14,62	0,	2,35		25,55			14,15	77,7	2,42	9,86	25,5			13,44	73,4	0,76	3,49	0,				17,00	86,1	8,13	6,61	25,5				4,71	96,1					
29/01/2023 01.09.13						15,12	0,	2,41		25,55			14,21	78,6	2,54	9,87	25,5			13,44	72,8	0,86	3,2	0,				17,25	85,6	8,14	6,62	25,5				4,71	96,					
29/01/2023 01.14.11						15,18	0,	2,52		25,55			14,21	76,8	2,11	9,86	25,5			13,38	72,4	0,8	2,95	0,				17,18	85,	8,13	6,51	25,5				4,71	96,3					
29/01/2023 01.19.14						15,00	0,	2,68		25,55			14,46	77,8	2,08	9,86	25,5			13,38	72,2	0,83	2,73	0,				17,18	84,6	8,14	6,61	25,5				4,77	96,2					
29/01/2023 01.24.12						15,12	0,	2,45		25,55			14,58	77,6	2,12	9,87	25,5			13,56	72,	0,72	2,01	0,				17,06	84,	8,15	6,53	25,5				4,77	96,2					
29/01/2023 01.29.13						15,25	0,	2,55		25,55			14,46	77,4	2,17	9,87	25,5			13,56	71,4	0,58	1,22	0,				17,37	83,8	8,15	6,54	25,5				4,71	96,					
29/01/2023 01.34.12						15,37	0,	2,51		25,55			14,77	78,2	2,08	9,87	25,5			13,63	71,5	0,57	0,41	0,				17,31	83,7	8,16	6,51	25,5				4,77	96,					
29/01/2023 01.39.12						15,18	0,	2,4		25,55			14,96	77,4	2,24	9,87	25,5			13,75	70,5	0,61	0,41	0,				16,93	82,7	8,05	6,51	25,5				4,71	96,					
29/01/2023 01.44.12						15,06	0,	2,47		25,55			14,58	76,7	2,18	9,87	25,5			13,75	70,4	0,48	0,	0,				17,31	82,7	7,94	6,51	25,5				4,58	95,9					
29/01/2023 01.49.12						15,37	0,	2,31		25,55			14,90	76,4	1,98	9,86	25,5			13,81	71,2	0,48	0,	0,				17,31	82,6	7,93	6,51	25,5				4,65	96,					
29/01/2023 01.54.14						15,62	0,	2,31		25,55			14,96	76,1	2,25	9,86	25,5			13,75	70,4	2,51	5,91	25,67				17,62	82,7	7,93	6,39	25,5				4,77	95,9					
29/01/2023 01.59.12						15,56	0,	2,35		25,55			15,08	77,	2,21	9,87	25,5			14,13	71,6	2,62	8,83	25,67				17,81	82,7	7,95	6,38	25,5				4,65	95,7					
