Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
08/12/2022 00.04.11						15,06	0,	1,1	5,67	25,55			17,90	74,6	0,88	5,49	25,5			19,63	67,2	0,99	4,74	25,67				15,18	81,1	1,24	5,84	25,5				-3,67	96,					
08/12/2022 00.09.10						15,12	0,	1,11	5,62	25,55			18,15	76,2	0,83	5,12	25,5			19,63	66,	1,05	4,74	25,67				15,50	81,3	1,23	5,91	25,5				-3,67	95,6					
08/12/2022 00.14.11						16,50	0,	1,24	5,95	25,55			18,71	75,5	0,85	5,12	25,5			19,50	66,1	1,06	4,91	25,67				15,56	81,	1,39	5,92	25,5				-3,73	95,6					
08/12/2022 00.19.11						15,93	0,	1,13	6,12	25,55			19,21	76,8	0,85	5,12	25,5			19,38	65,2	1,02	5,04	25,67				15,62	80,7	1,27	5,92	25,5				-3,73	95,6					
08/12/2022 00.24.11						15,18	0,	1,28	6,19	25,55			19,83	79,	0,82	5,12	25,5			19,13	65,2	1,03	5,04	25,67				15,25	80,3	1,19	5,93	25,5				-3,67	95,6					
08/12/2022 00.29.10						14,81	0,	1,34	6,3	25,55			19,90	78,2	0,86	5,11	25,5			19,00	64,4	1,04	4,83	25,67				15,50	80,2	1,34	6,09	25,5				-3,67	95,8					
08/12/2022 00.34.12						15,00	0,	1,24	6,32	25,55			19,83	77,4	0,84	5,11	25,5			18,88	64,5	1,03	4,83	25,67				15,18	80,2	1,3	6,12	25,5				-3,73	95,8					
08/12/2022 00.39.10						15,12	0,	1,3	6,3	25,55			19,33	77,3	0,88	5,12	25,5			18,88	64,8	1,03	4,83	25,67				15,50	80,	1,39	6,16	25,5				-3,79	95,8					
08/12/2022 00.44.11						15,75	0,	1,19	6,3	25,55			19,21	76,6	0,84	5,11	25,5			19,00	65,6	1,02	4,83	25,67				15,25	79,1	1,52	6,22	25,5				-3,85	95,9					
08/12/2022 00.49.12						14,75	0,	1,29	6,3	25,55			19,15	77,	0,85	5,12	25,5			19,06	66,1	0,98	4,83	25,67				15,00	80,2	1,45	6,25	25,5				-3,98	95,8					
08/12/2022 00.54.10						15,00	0,	1,27	6,3	25,55			19,08	76,1	0,87	5,65	25,5			18,94	66,4	0,98	4,66	25,67				15,12	79,6	1,49	6,31	25,5				-4,04	95,9					
08/12/2022 00.59.12						14,75	0,	1,19	6,3	25,55			18,71	75,3	0,87	5,65	25,5			18,81	66,8	0,92	4,51	25,67				14,87	79,5	1,25	6,29	25,5				-4,23	96,					
08/12/2022 01.04.11						14,31	0,	1,16	6,08	25,55			18,40	73,7	0,88	5,65	25,5			18,81	67,2	0,98	4,52	25,67				14,87	79,7	1,43	6,18	25,5				-4,10	95,9					
08/12/2022 01.09.11						14,62	0,	1,22	5,84	25,55			18,52	76,6	0,86	5,64	25,5			18,69	66,7	0,98	4,52	25,67				14,75	80,3	1,23	6,	25,5				-4,23	95,8					
08/12/2022 01.14.10						14,81	0,	1,18	5,55	25,55			18,40	76,3	0,91	5,65	25,5			18,75	66,9	0,92	4,24	25,67				15,25	82,3	1,27	6,	25,5				-4,17	95,9					
08/12/2022 01.19.11						15,00	0,	1,05	5,48	25,55			18,27	74,6	0,94	5,65	25,5			19,06	68,2	0,92	4,25	25,67				15,75	83,	1,38	6,06	25,5				-4,17	96,1					
08/12/2022 01.24.11						14,81	0,	1,07	5,39	25,55			18,15	74,3	0,91	5,8	25,5			19,31	67,7	0,97	4,24	25,67				15,75	81,6	1,31	6,1	25,5				-4,10	96,					
08/12/2022 01.29.12						15,37	0,	1,02	5,27	25,55			18,02	74,6	0,88	5,8	25,5			19,31	66,8	0,98	4,24	25,67				15,50	81,3	1,33	6,14	25,5				-4,29	96,					
08/12/2022 01.34.11						15,50	0,	1,01	5,22	25,55			17,90	74,8	0,88	5,6	25,5			19,38	67,	0,94	4,25	25,67				15,25	80,7	1,32	6,13	25,5				-4,23	96,					
08/12/2022 01.39.10						15,75	0,	1,12	5,16	25,55			18,08	74,6	0,88	5,41	25,5			19,13	66,3	0,94	4,25	25,67				15,25	80,3	1,36	5,97	25,5				-4,17	96,					
08/12/2022 01.44.12						15,62	0,	1,04	5,1	25,55			18,21	75,	0,91	5,2	25,5			19,19	66,	0,95	4,25	25,67				14,93	80,1	1,25	5,88	25,5				-4,29	95,9					
08/12/2022 01.49.11						15,81	0,	1,09	5,08	25,55			18,27	75,4	0,84	5,2	25,5			19,38	67,2	0,96	4,25	25,67				14,81	80,2	1,19	5,79	25,5				-4,17	95,9					
