Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
09/12/2022 00.04.11						15,37	0,	1,37	6,25	25,55			18,83	79,6	0,81	5,01	25,5			17,75	72,4	1,04	5,15	25,67				14,06	84,6	2,05	7,34	25,5				0,40	97,7					
09/12/2022 00.09.11						15,75	0,	1,22	6,18	25,55			18,77	78,6	0,83	5,	25,5			17,88	71,6	0,96	4,97	25,67				14,06	84,4	1,64	7,02	25,5				0,40	97,7					
09/12/2022 00.14.11						15,87	0,	1,35	6,2	25,55			19,02	78,3	0,83	5,	25,5			18,06	72,	0,94	4,77	25,67				14,68	85,5	1,59	6,75	25,5				0,40	97,6					
09/12/2022 00.19.11						15,81	0,	1,52	6,34	25,55			19,02	78,2	0,83	5,	25,5			18,31	72,	0,89	4,77	25,67				14,81	84,5	1,45	6,56	25,5				0,33	97,6					
09/12/2022 00.24.11						15,68	0,	1,38	6,37	25,55			19,27	78,5	0,89	5,63	25,5			18,44	71,1	0,94	4,77	25,67				14,50	83,7	1,36	6,51	25,5				0,40	97,6					
09/12/2022 00.29.11						15,81	0,	1,34	6,54	25,55			19,21	77,	0,88	5,63	25,5			18,69	72,	0,91	4,77	25,67				14,75	83,9	1,55	6,45	25,5				0,40	97,6					
09/12/2022 00.34.11						15,75	0,	1,31	6,55	25,55			19,15	76,8	0,87	5,63	25,5			18,94	72,1	0,92	4,77	25,67				14,93	83,5	1,48	6,49	25,5				0,40	97,6					
09/12/2022 00.39.10						15,62	0,	1,45	6,65	25,55			19,15	76,7	0,86	5,63	25,5			19,13	72,	0,96	4,77	25,67				15,31	83,2	1,45	6,54	25,5				0,27	97,7					
09/12/2022 00.44.11						15,56	0,	1,56	6,64	25,55			19,58	78,5	0,89	5,63	25,5			19,19	70,9	0,98	4,77	25,67				15,18	82,7	1,54	6,47	25,5				0,40	97,8					
09/12/2022 00.49.12						15,25	0,	1,43	6,77	25,55			19,58	77,1	0,9	5,63	25,5			19,50	71,2	0,98	4,77	25,67				15,18	82,8	1,6	6,45	25,5				0,33	97,7					
09/12/2022 00.54.11						15,31	0,	1,56	6,84	25,55			19,21	77,	0,89	5,63	25,5			19,44	70,	1,04	4,77	25,67				15,25	82,3	1,82	6,45	25,5				0,33	97,6					
09/12/2022 00.59.11						15,31	0,	1,57	6,83	25,55			19,08	76,2	0,9	5,64	25,5			19,50	70,	1,01	4,98	25,67				15,37	82,7	1,63	6,56	25,5				0,27	97,7					
09/12/2022 01.04.11						15,25	0,	1,77	6,81	25,55			18,90	74,9	0,9	5,84	25,5			19,50	69,4	1,	4,99	25,67				15,12	82,	1,67	6,59	25,5				0,27	97,6					
09/12/2022 01.09.10						15,43	0,	1,79	6,82	25,55			18,77	75,3	0,94	5,83	25,5			19,38	68,6	1,09	5,25	25,67				15,62	82,1	1,68	6,61	25,5				0,02	97,6					
09/12/2022 01.14.10						15,43	0,	1,44	6,81	25,55			18,77	75,	1,01	6,04	25,5			19,31	68,1	1,09	5,25	25,67				15,25	81,8	1,62	6,66	25,5				0,21	97,6					
09/12/2022 01.19.11						15,25	0,	1,75	6,82	25,55			18,65	75,6	0,98	6,05	25,5			19,25	67,7	1,13	5,25	25,67				15,62	81,9	1,55	6,69	25,5				-0,17	97,2					
09/12/2022 01.24.11						15,31	0,	1,49	6,82	25,55			18,46	75,	1,	6,35	25,5			19,25	67,5	1,06	5,25	25,67				15,50	81,3	1,8	6,74	25,5				-0,17	97,5					
09/12/2022 01.29.11						15,31	0,	1,67	6,84	25,55			18,33	74,3	0,97	6,34	25,5			19,19	67,2	1,17	5,41	25,67				15,31	80,6	1,54	6,77	25,5				0,21	97,6					
09/12/2022 01.34.12						15,25	0,	1,8	6,81	25,55			18,27	75,4	1,06	6,35	25,5			19,13	66,8	1,2	5,57	25,67				15,18	81,1	1,72	6,81	25,5				-0,10	97,2					
09/12/2022 01.39.10						15,25	0,	1,54	6,84	25,55			18,08	75,7	1,06	6,57	25,5			18,94	66,4	1,08	5,57	25,67				15,18	81,1	1,52	6,85	25,5				0,02	97,6					
09/12/2022 01.44.11						15,18	0,	1,52	6,67	25,55			17,77	72,6	1,07	6,57	25,5			18,75	66,1	1,17	5,57	25,67				15,12	80,6	1,7	6,96	25,5				-0,23	97,6					
09/12/2022 01.49.11						14,81	0,	1,68	6,66	25,55			17,77	75,5	1,08	6,57	25,5			18,56	66,	1,24	5,57	25,67				15,12	80,3	1,6	6,88	25,5				-0,23	97,5					
