Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
26/11/2022 00.04.12						17,75	0,	1,21		25,55			20,27	79,4	0,79	3,16	25,5			20,94	72,1	0,92	4,57	25,67				16,62	84,2	6,12	6,85	25,5				6,71	95,7					
26/11/2022 00.09.11						18,31	0,	1,21		25,55			20,33	79,8	0,79	3,16	25,5			20,88	72,	0,96	4,69	25,67				16,62	84,6	6,2	6,67	25,5				6,77	95,6					
26/11/2022 00.14.12						17,43	0,	1,35		25,55			20,27	79,6	0,82	3,16	25,5			20,69	70,8	1,02	4,91	25,67				16,87	85,1	6,26	6,37	25,5				6,65	95,6					
26/11/2022 00.19.12						17,87	0,	1,11		25,55			20,27	79,4	0,81	3,16	25,5			20,56	70,9	0,99	4,9	25,67				17,25	85,	6,34	6,29	25,5				6,58	95,6					
26/11/2022 00.24.12						17,93	0,	1,35		25,55			20,21	79,	0,82	3,16	25,5			20,63	70,8	0,93	4,91	25,67				17,50	85,	6,37	6,23	25,5				6,58	95,8					
26/11/2022 00.29.12						17,62	0,	1,31		25,55			20,15	78,8	0,85	3,16	25,5			20,63	69,9	0,99	4,92	25,67				17,93	84,6	6,4	6,41	25,5				6,40	95,5					
26/11/2022 00.34.12						17,18	0,	1,41		25,55			20,15	78,3	0,86	3,16	25,5			20,63	69,9	0,98	4,91	25,67				17,75	84,2	6,44	6,41	25,5				6,46	95,6					
26/11/2022 00.39.11						17,43	0,	1,5		25,55			20,15	78,4	0,83	3,16	25,5			20,63	70,4	0,96	4,9	25,67				18,00	84,3	6,44	6,41	25,5				6,27	95,6					
26/11/2022 00.44.12						17,50	0,	1,36		25,55			20,21	78,	0,81	3,15	25,5			20,56	69,6	0,97	4,91	25,67				18,37	84,2	1,62	6,5	25,5				6,27	95,6					
26/11/2022 00.49.12						18,43	0,	1,43		25,55			20,27	77,8	0,84	3,16	25,5			20,56	69,1	0,98	4,91	25,67				17,81	82,7	6,55	6,56	25,5				6,21	95,6					
26/11/2022 00.54.11						18,12	0,	1,6		25,55			20,21	77,8	0,8	3,16	25,5			20,56	68,9	0,95	4,91	25,67				17,81	82,8	6,99	6,63	25,5				6,15	95,6					
26/11/2022 00.59.14						17,12	0,	1,76		25,55			20,21	77,8	0,8	3,16	25,5			20,56	69,2	0,97	4,9	25,67				18,12	83,1	7,13	6,66	25,5				6,15	95,6					
26/11/2022 01.04.12						16,93	0,	1,59		25,55			20,15	77,6	0,85	3,16	25,5			20,63	68,6	1,02	4,91	25,67				17,81	82,3	6,86	6,75	25,5				6,15	95,6					
26/11/2022 01.09.12						16,43	0,	1,73		25,55			20,15	77,8	0,86	3,15	25,5			20,56	68,3	0,98	4,91	25,67				17,81	82,7	6,89	6,79	25,5				6,02	95,5					
26/11/2022 01.14.11						16,81	0,	1,53		25,55			20,21	77,4	0,8	3,15	25,5			20,63	68,9	0,98	4,92	25,67				17,62	81,9	6,64	6,75	25,5				6,02	95,6					
26/11/2022 01.19.12						16,68	0,	1,48		25,55			20,15	77,4	0,83	3,15	25,5			20,81	69,9	1,09	4,9	25,67				17,43	82,3	6,5	6,74	25,5				5,90	95,6					
26/11/2022 01.24.11						16,93	0,	1,31		25,55			20,15	77,4	0,81	3,16	25,5			21,00	68,9	1,09	5,25	25,67				17,50	82,	6,34	6,73	25,5				5,90	95,4					
26/11/2022 01.29.12						16,56	0,	1,34		25,55			20,15	77,4	0,84	3,16	25,5			20,81	68,8	1,1	5,25	25,67				17,37	81,6	6,3	6,74	25,5				5,83	95,6					
26/11/2022 01.34.12						16,75	0,	1,24		25,55			20,15	77,4	0,81	3,16	25,5			20,69	67,9	1,12	5,47	25,67				17,31	81,4	6,21	6,75	25,5				5,71	95,5					
26/11/2022 01.39.11						16,87	0,	1,2		25,55			20,15	77,9	0,82	3,16	25,5			20,50	68,4	1,35	5,48	25,67				17,43	81,9	6,26	6,66	25,5				5,71	95,6					
26/11/2022 01.44.12						16,93	0,	1,27		25,55			20,15	77,8	0,82	3,16	25,5			20,25	68,	1,14	5,48	25,67				17,87	82,3	6,15	6,56	25,5				5,71	95,5					
26/11/2022 01.49.11						16,68	0,	1,23		25,55			20,15	77,5	0,81	3,16	25,5			20,13	67,3	1,09	5,21	25,67				17,56	81,9	6,15	6,61	25,5				5,58	95,4					
26/11/2022 01.54.12						17,31	0,	1,24		25,55			20,08	78,2	0,83	3,16	25,5			20,13	67,2	1,1	5,21	25,67				17,68	81,7	6,14	6,49	25,5				5,58	95,6					
