Net no:						1	1	1	1	1			1	1	1	1	1			1	1	1	1	1				1	1	1	1	1				1	1					
Object no:						131	141	150	151	152			134	144	159	160	161			133	143	156	157	158				132	142	153	154	155				130	140					
Table no:						0	0	0	0	0			0	0	0	0	0			0	0	0	0	0				0	0	0	0	0				0	0					
Code no:						48	48	48	48	48			48	48	136	136	136			48	48	48	48	48				48	48	48	48	48				48	48					
Calculation:						T	/10	/100	/100	/100			T	/10	/100	/100	/100			T	/10	/100	/100	/100				T	/10	/100	/100	/100				T	/10					
Date/time:	Afp. 1776	Bes. 97184			Stald 1	Temp_stald1	Fugt_stald1	DynamicAir_trinløs_stald1	Spjæld_trinløs_stald 1	On/off_stald1		Stald 2	Temp_stald2	Fugt_stald2	DynamicAir_trinløs_stald2	Spjæld_trinløs_stald2	On/off_stald2		Stald5	Temp_stald5	Fugt_stald5	DynamicAir_trinløs_stald5	Spjæld_trinløs_stald5	On/off_stald 5			Stald6	Temp_stald6	Fugt_stald 6	DynamicAir_trinløs_stald6	Spjæld_trinløs_stald6	On/off_stald6			UDE	Temp_ude	Fugt_ude					
26/12/2022 00.04.12						15,00	0,	0,75		0,			15,71	81,1	2,59	9,88	25,5			15,44	74,	0,68	4,37	0,				15,81	86,4	5,28	3,87	0,				7,33	98,9					
26/12/2022 00.09.11						15,00	0,	0,75		0,			15,65	80,3	2,43	9,88	25,5			15,25	74,4	0,75	3,81	0,				15,50	86,3	5,06	3,1	0,				7,27	98,8					
26/12/2022 00.14.12						14,87	0,	0,68		0,			15,65	80,5	2,27	9,87	25,5			15,25	75,	0,69	2,8	0,				15,87	86,6	4,35	2,62	0,				7,27	98,8					
26/12/2022 00.19.11						14,81	0,	0,72		0,			15,58	79,7	2,15	9,88	25,5			15,38	74,8	0,58	1,59	0,				16,37	87,8	3,76	1,79	0,				7,27	98,8					
26/12/2022 00.24.12						14,87	0,	0,72		0,			15,65	78,6	1,91	9,88	25,5			15,31	73,3	0,48	0,	0,				15,93	86,6	3,07	0,94	0,				7,15	98,8					
26/12/2022 00.29.12						14,75	0,	0,63		0,			15,71	79,4	1,83	9,87	25,5			15,25	73,2	0,48	0,	0,				15,87	85,8	2,48	0,	0,				7,27	98,8					
26/12/2022 00.34.13						14,43	0,	0,47		0,			15,83	79,3	1,96	9,87	25,5			15,31	74,4	2,39	8,76	25,67				16,18	85,9	0,69	0,	0,				7,21	98,8					
26/12/2022 00.39.11						14,87	0,	0,44		0,			16,08	79,2	1,96	9,87	25,5			15,56	73,6	2,64	8,46	25,67				16,00	85,3	0,47	0,	0,				7,08	98,8					
26/12/2022 00.44.12						15,12	0,	1,45		25,55			16,02	78,7	2,24	9,86	25,5			15,63	74,	2,61	8,29	25,67				16,62	85,4	2,42	8,51	25,5				7,15	98,8					
26/12/2022 00.49.12						15,18	0,	2,38		25,55			15,90	78,3	2,	9,86	25,5			15,75	73,2	2,32	8,29	25,67				16,31	85,	8,72	8,44	25,5				7,15	98,8					
26/12/2022 00.54.12						15,12	0,	2,52		25,55			15,96	78,6	2,09	9,85	25,5			15,81	72,8	2,71	8,07	25,67				16,18	84,7	8,54	8,18	25,5				7,08	98,8					
26/12/2022 00.59.12						15,43	0,	2,61		25,55			15,90	79,	2,03	9,86	25,5			16,00	73,5	2,35	8,07	25,67				16,68	85,2	8,52	8,22	25,5				7,21	98,8					
26/12/2022 01.04.11						15,25	0,	2,4		25,55			16,15	79,7	2,07	9,86	25,5			16,25	73,4	2,61	8,08	25,67				16,87	85,	8,45	8,28	25,5				7,15	98,8					
26/12/2022 01.09.12						15,81	0,	2,53		25,55			16,15	78,7	1,92	9,85	25,5			16,31	72,4	2,56	8,07	25,67				16,75	84,2	8,37	8,17	25,5				7,21	98,8					
26/12/2022 01.14.12						15,56	0,	2,6		25,55			16,21	78,7	2,11	9,85	25,5			16,38	72,5	2,45	8,07	25,67				16,68	84,1	8,43	8,17	25,5				7,08	98,7					
26/12/2022 01.19.12						15,62	0,	2,46		25,55			16,15	77,4	2,07	9,85	25,5			16,44	71,6	2,49	8,07	25,67				16,93	84,2	2,56	8,27	25,5				7,15	98,7					
26/12/2022 01.24.11						15,68	0,	2,51		25,55			16,21	77,8	2,1	9,86	25,5			16,44	72,	2,38	8,27	25,67				16,93	84,1	8,43	8,34	25,5				7,15	98,7					
26/12/2022 01.29.13						15,43	0,	2,32		25,55			16,15	77,2	1,95	9,86	25,5			16,38	71,2	2,44	8,27	25,67				16,93	83,3	8,44	8,55	25,5				7,15	98,7					
26/12/2022 01.34.13						15,56	0,	2,48		25,55			16,08	77,5	2,05	9,86	25,5			16,50	72,	2,52	8,62	25,67				16,93	83,2	8,42	8,48	25,5				7,15	98,7					
26/12/2022 01.39.11						15,75	0,	2,37		25,55			16,15	78,3	2,09	9,85	25,5			16,44	71,	2,36	8,63	25,67				16,50	83,	8,52	8,6	25,5				7,21	98,7					
26/12/2022 01.44.12						15,75	0,	2,61		25,55			16,21	77,	2,3	9,86	25,5			16,31	71,2	2,34	8,95	25,67				16,50	83,	8,53	8,63	25,5				7,15	98,4					
26/12/2022 01.49.12						15,93	0,	2,43		25,55			16,33	78,1	1,97	9,86	25,5			16,25	71,4	2,37	9,27	25,67				16,87	83,	8,81	8,62	25,5				7,15	98,5					
26/12/2022 01.54.12						15,68	0,	2,48		25,55			16,08	77,	2,37	9,86	25,5			16,31	71,2	2,39	9,28	25,67				16,56	82,7	8,91	8,74	25,5				7,08	98,5					
26/12/2022 01.59.11						15,75	0,	2,32		25,55			15,96	77,	2,17	9,87	25,5			16,13	70,7	0,56	1,35	0,				16,56	84,2	9,26	8,89	25,5				7,15	98,5					
