""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"1"	1660610302.94737	24743.548306551	25501.1754256604	NA	NA	NA	NA	126.694726669295	12005.7267739716	0.280176680154223	3803.61433434045
"2"	1660612703.7619	24732.6085892733	25029.5532541007	178.304089760696	11704.7002314058	0.556521093090684	7497.56226111225	139.066015330865	11760.9218235026	0.381528207649045	3829.70011486574
"3"	1660615102.42606	24868.6209377625	25130.9092527169	196.000364486465	10765.0708992488	0.859830653023088	7152.69732833946	115.75200977932	10938.5517375557	0.542380229705888	3250.89878477287
"4"	1660617499.82957	24933.4980511566	25280.1727269112	185.674441166847	10343.9837068953	0.952525740911683	7028.3161819963	132.213776068376	12342.0302874105	0.582893298549278	3838.87035139236
"5"	1660619899.71805	24767.2128966985	25620.6490644118	210.209668524523	11651.1602117153	1.031873842292	7750.63124436514	128.069135043909	11778.4182776813	0.51377977040896	3924.40577032001
"6"	1660622299.58772	24755.7632291375	25051.3242437002	229.011283697354	13338.8849093447	1.17227151614733	8113.61809673275	133.684705978262	12169.9208501167	0.34637938328595	3814.88820920616
"7"	1660624698.68296	24844.0533723391	25669.0861675213	163.826608294315	11753.1046478967	0.818605475528082	6847.30071040744	114.141087171086	11504.739608233	0.455017187309905	4185.90277212506
"8"	1660627097.40977	24846.0410417503	25765.4486729264	178.773654179031	12082.5867528044	0.742910104165471	7264.60912759849	162.354718529955	16944.0171152276	0.487835263589896	4436.39716780416
"9"	1660629497.21429	24841.3890789292	25957.9258566993	204.572580750343	15159.3207473338	0.997304316878406	7411.05815308471	138.414893667189	15377.7264145609	0.348882749817196	3884.53607969211
"10"	1660631895.88346	24691.8473294632	25750.9010731152	170.465262745273	12624.3336584095	1.1274222669301	7989.41771945834	120.690189888989	13606.5659635474	0.35096934434825	4136.74456123239
"11"	1660634295.20426	25108.4929272532	25182.6853047756	171.946348912395	12724.811892137	0.904247182518922	8105.87328117224	118.18810736015	13436.729195091	0.384253155163198	3670.31419910074
"12"	1660636693.64411	25260.4752800404	25493.1178712641	159.855919105563	12728.0592910723	0.770920287907775	7020.70796797055	111.346142876855	13429.035299527	0.454798019727379	3598.79305645346
"13"	1660639092.32456	26238.1118754126	27217.7259986439	115.282522093709	11965.2746609421	0.957139747623054	6650.67007089088	49.838246566263	11985.815195547	0.317334496756554	3506.56771213787
"14"	1660641492.95363	25853.0857415903	26609.5852623001	-12.9235964295123	10219.3337478827	0.601443249499437	5930.32430508821	-21.7318182014789	10275.0486528969	0.333960100383188	3264.09191782302
"15"	1660643889.80326	25995.9992523904	26154.2491766798	68.3493303118893	11236.2772450882	0.501671282471334	5727.77905481027	100.115282770239	11255.2242241044	0.408594637886995	3396.28941729296
"16"	1660646290.21554	26005.941686736	26734.7439842013	110.500944029214	11180.8453416693	0.443948370957968	5112.26737787199	87.8545693453161	10186.2804912076	0.398598733868772	3334.4927678379
"17"	1660648688.54887	25712.688548099	26826.304387129	121.606473106884	9856.5319234239	0.641342953091019	4888.64791286314	84.1129656224593	10356.0489156776	0.333720460007418	3258.31415555781
"18"	1660651088.47243	26170.443995395	26203.7539189487	111.461474395154	10298.9035402266	0.464363032378913	5016.94478413065	94.5574408960999	10778.2283810215	0.37216085365174	3787.67941339933
"19"	1660653486.87093	26278.6221412309	26526.2585635139	111.089168978578	11546.7768958999	0.396046494835385	5290.88937697771	101.724565944259	11678.1894210085	0.35314868706486	4115.48926408168
"20"	1660655887.01003	26050.538874227	26817.0102264029	97.1723553516338	11043.6701300384	0.282994287450748	4943.09055985855	100.519906568719	12004.7313420548	0.189699044842987	3423.3443963115
"21"	1660658286.46992	26290.4241073203	26934.4622623068	116.684886115977	11537.515491348	0.394481826829263	5113.08944230575	97.0454214699991	11400.7908499598	0.171955278659693	3426.62693841513
"22"	1660660684.03258	26759.2521970471	26772.2258366448	115.901696710092	11014.5585404791	0.486969800522539	5338.46272601122	94.8980130292188	11106.31438612	0.274544025940261	3121.65157273184
"23"	1660663084.33459	26497.3324350963	26640.6095945226	103.561884124891	10790.2338012465	0.459317649019796	4757.59028750359	83.5123177337308	10475.9318171117	0.194312943569793	2879.49845179086
"24"	1660665482.42732	25929.9206261929	26661.269147849	99.7550946472366	10066.7384917485	0.373488017068498	4693.52677699446	88.6606169485176	11665.8508935515	0.294185878341548	3175.28634610906
"25"	1660667882.40476	26436.1879521045	26459.3198064752	98.8927383679146	9728.47123037736	0.388873043968197	4571.94487298427	89.4686756704979	11015.940701965	0.116658951615262	3081.09232723016
"26"	1660670281.49624	26733.3565485846	26685.2262374171	98.7571919145311	9513.38802823546	0.27330878424608	4674.89906084113	100.193095778406	11400.7413317653	0.512623476197208	3822.23090489701
"27"	1660672681.00125	26146.0210568553	26633.1509736863	110.681566405004	10322.7995473739	0.481489693500137	4770.82840590239	94.7258651745011	10942.4360116199	0.327252851267476	3118.20710254289
"28"	1660675079.06642	26474.1918518155	25541.3289914351	112.634790009611	10026.2432710707	0.307255285202071	4917.98928819618	76.9326822432608	8965.74192253836	0.0555908694217095	2568.08981772058
"29"	1660677478.62281	26057.8905216339	25834.5218208327	141.414194073453	9789.68978690622	0.330229353854721	5781.05206139046	138.994084733196	13277.7747543179	0.151482177743541	3055.40401318128
"30"	1660679876.81203	24982.7523653087	25593.067234581	187.978115660352	10357.1334892705	0.46709935571275	5707.14386374668	123.639179035074	11468.1551296201	0.269883792303571	3008.35525956103
"31"	1660682274.50501	25033.5979837387	25705.8917374913	180.074593764838	10775.2173158777	0.224965526600993	5549.80031664521	177.620523951326	13826.267593118	0.311986223971616	3605.10797762187
"32"	1660684674.90226	24486.7544745074	25451.5914193214	138.823881802607	10802.7586810304	0.420711877173762	4671.90834135163	126.389319068454	11767.5402980511	0.277342744496175	3061.67766748095
"33"	1660687074.42481	25059.0227865094	25445.0499018247	180.007393891095	10649.9383328477	0.648434680767345	5811.21761722882	119.2062375962	11107.9397709131	0.407136635233584	3061.77383576231
"34"	1660689472.18797	24894.9860647608	24923.9090543344	181.104043227368	11291.6501671513	0.77825522687486	6016.87497874013	131.028818515202	11382.6520045392	0.348207817844157	3229.91910201391
"35"	1660691872.03008	24522.9115535772	25449.4854400602	201.430166705897	14363.0135737207	0.523596649493707	6697.47373273523	134.855912470998	12881.8477957401	0.258641572531865	3138.86438403901
"36"	1660694272.10777	24674.3306707485	25196.2822239791	182.607046960415	10934.6812341234	0.551735195762446	5976.94712241288	121.292638276425	12573.7709128912	0.344431121551712	2981.58954215692
"37"	1660696670.39724	24620.8680065597	23367.2888498777	128.261377199635	9857.88298581314	0.559206090160064	4840.44175922645	105.600855371788	10515.907252949	0.285683844495871	3074.79493898742
"38"	1660699069.99749	24945.0507974394	24843.8081236822	159.081064472975	10263.4699131346	0.306972709678768	5394.2624581473	118.805393349621	11648.5810196497	0.187790069260916	3086.63369407785
"39"	1660701468.3396	25032.532133774	25490.3396425144	158.72045038413	10468.6523897866	0.553614077294219	5542.3581339892	120.336514834631	11201.3018643056	0.278618162559603	3063.6965632463
"40"	1660703866.27193	25141.4254177745	25701.4060679436	188.650658899875	10804.5791163949	0.455105082928352	6534.68219224888	133.64195599078	11619.9618450913	0.313442074451774	3587.05152120593
"41"	1660706266.17544	24919.3665447893	25513.1518109469	167.659058905372	10636.0140234967	0.532012960712676	5747.72410243707	125.618596948835	10886.978367872	0.286942551269295	3045.88864643531
