""	"M_Time_S5"	"M_Time_S6"	"M_Time_BGr"	"M_Time_BGt"	"M_NH3_S5"	"M_N2O_S5"	"M_CO2_S5"	"M_CH4_S5"	"M_NH3_S6"	"M_N2O_S6"	"M_CO2_S6"	"M_CH4_S6"	"M_NH3_BGr"	"M_N2O_BGr"	"M_CO2_BGr"	"M_CH4_BGr"	"M_NH3_BGt"	"M_N2O_BGt"	"M_CO2_BGt"	"M_CH4_BGt"	"M_H2O_S5"	"M_H2O_S6"	"M_H2O_BGr"	"M_H2O_BGt"
"1"	2022-05-02 14:49:04.364103	2022-05-02 15:09:05.351282	2022-05-02 14:59:03.753846	2022-05-02 15:19:04.7	9981.37570574154	0.506186215685051	1067.99254008123	374.425618001538	19186.9172031282	0.560406025705513	941.613951724333	289.105187593385	99.8114124356846	0.338504563404667	394.148213270051	2.64873118514051	163.629829959538	0.338412525247769	415.939202296462	2.05765401038154	1.34163198089872	1.12845315787769	0.941372406083333	0.947990024033974
"2"	2022-05-02 15:29:04.494872	2022-05-02 15:49:02.31282	2022-05-02 15:39:02.864103	2022-05-02 15:59:03.974359	10307.8524828821	0.494760962151103	1039.04682452462	359.629866665	19439.9823699256	0.558492566401897	929.936096972692	280.075815400103	149.592179322333	0.341046867595667	397.597012381077	2.62929237886179	165.199291128513	0.340204908795718	395.137148512256	2.19026982811	1.33682549040513	1.11685404416231	0.956268747979923	0.973248470384615
"3"	2022-05-02 16:09:02.158974	2022-05-02 16:29:00.907692	2022-05-02 16:19:02.925641	2022-05-02 16:39:01.153846	10676.2101975974	0.50698758424341	1031.25312899741	353.724300526282	19881.1394941641	0.544929976274231	929.132927851923	281.469168136436	171.864301605923	0.339156325968487	395.417255770282	2.58940171108026	162.283091671308	0.340717171504	389.862814159718	2.26415786879	1.33250106022256	1.11354894999359	0.972222089950667	1.00124122312567
"4"	2022-05-02 16:49:02.228205	2022-05-02 17:09:01.361538	2022-05-02 16:59:01.530769	2022-05-02 17:19:02.930769	10760.9872723179	0.495270538972795	1027.30934046005	352.043580401179	20152.7740665513	0.548454527199949	932.934309272692	284.303357652	172.823345874872	0.341356535813231	395.013369513205	2.6431438228059	158.450667969795	0.339384434133359	390.780706544795	2.31778377318077	1.33475399539385	1.10812733151205	1.00379240836885	1.01535459672385
"5"	2022-05-02 17:29:01.658974	2022-05-02 17:48:59.505128	2022-05-02 17:39:01.294872	2022-05-02 17:59:02.238461	10774.8386739821	0.490875700607718	1026.92866982803	351.896967053718	20782.7783920923	0.563247576300923	965.698957036795	301.263108057538	157.930285993308	0.338784899329359	396.767091270282	2.59129815897744	152.878945035026	0.338226713002308	391.757487936692	2.35110814323231	1.32922816532154	1.10298847254487	0.96968487681159	0.999990987763513
"6"	2022-05-02 18:09:01.415385	2022-05-02 18:29:01.233333	2022-05-02 18:19:01.210256	2022-05-02 18:39:01.661538	10868.3533259077	0.494299994874974	1036.90888255751	357.900212021744	21102.2681176282	0.556759366970872	995.304426740923	318.051187884949	143.769254508103	0.338245392565051	397.418591019282	2.5901435918882	153.286197377256	0.33794179176159	392.072287277897	2.43717563186205	1.32491354206282	1.10788715770718	0.979931905153718	1.00190168043062
"7"	2022-05-02 18:49:00.374359	2022-05-02 19:09:00.292308	2022-05-02 18:58:59.425641	2022-05-02 19:19:00.966667	10836.5309304821	0.49266380919759	1058.8450622119	369.853879709103	21015.9249748821	0.559397877011385	1013.33035744769	331.515605271128	145.628390780333	0.338963358570231	399.887059050359	2.58188565113846	151.754851660359	0.339322086186538	393.560423472333	2.47803375108128	1.32706965631641	1.10526924699128	1.00086260889331	1.01832577385051
"8"	2022-05-02 19:28:59.882051	2022-05-02 19:48:59.605128	2022-05-02 19:38:58.658974	2022-05-02 19:58:59.189744	11144.5376464718	0.500312893159513	1072.05513164103	377.510399341077	21544.1803646923	0.570378579701538	1050.16756894021	356.478011051128	142.164939122564	0.338054756763051	399.235923104308	2.64795984278333	145.244789414923	0.338142637810692	392.791451233282	2.44953261547923	1.33056859088051	1.10713042402821	1.05551544386179	1.04640377409974
"9"	2022-05-02 20:08:59.282051	2022-05-02 20:28:57.610256	2022-05-02 20:18:58.34359	2022-05-02 20:38:59.841026	11261.0513457718	0.499245867642897	1078.55263935823	383.658434415615	21498.4387029692	0.567586130568103	1062.05921102003	365.556866351718	139.829742267077	0.338693402316795	398.911714742718	2.73771568005846	143.401373345821	0.339356288721231	393.627916972026	2.3996759144482	1.32112882250949	1.10737587951436	1.07260317784667	1.06484068576103
"10"	2022-05-02 20:48:58.017949	2022-05-02 21:08:55.861538	2022-05-02 20:58:58.176923	2022-05-02 21:18:58.14359	11586.5741026256	0.501578170082974	1084.33158374746	382.843587719436	21582.3567874231	0.572568968535539	1068.88706546087	369.070083183026	147.811803487154	0.340104243271615	399.985663670641	2.83747048383051	146.349397123564	0.339932417796385	395.377360081487	2.41998792875077	1.32222243079795	1.10370999894	1.06534847945282	1.06382514200436
"11"	2022-05-02 21:28:57.574359	2022-05-02 21:48:56.192308	2022-05-02 21:38:57.410256	2022-05-02 21:58:56.364103	11564.3717170385	0.50252334298582	1089.91720042564	386.73004581541	21660.046140341	0.575641152889359	1074.79959231579	370.644868631718	151.363198808487	0.340394360409	400.492001568718	2.66292468903949	142.732690432	0.339301415431205	396.761371659051	2.44119395928282	1.31800750477667	1.10206587269513	1.02401051560256	1.04200373590026
