""	"Datetime"	"CH4_g_d"	"Temperature_C"	"Pigs_Number"	"Pigs_Mass"	"Slurry_Mass"	"Feed_Rate"	"Batch_Rate"	"Section_Rate"	"Section"	"Batch"	"Section_C"	"Section_d"	"Comments"
"20400"	2022-04-30 11:00:00	NA	14.6643934461806	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26753"	2022-04-30 11:00:00	NA	14.7930946180556	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20401"	2022-04-30 12:00:00	NA	14.6977604166667	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26754"	2022-04-30 12:00:00	NA	14.7525775824653	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20402"	2022-04-30 13:00:00	NA	14.7382774522569	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26755"	2022-04-30 13:00:00	NA	14.7406608072917	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20403"	2022-04-30 14:00:00	NA	14.7787944878472	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26756"	2022-04-30 14:00:00	NA	14.7335107421875	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20404"	2022-04-30 15:00:00	NA	14.8097781032986	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26757"	2022-04-30 15:00:00	NA	14.7454275173611	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20405"	2022-04-30 16:00:00	NA	14.8502951388889	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26758"	2022-04-30 16:00:00	NA	14.7597276475694	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20406"	2022-04-30 17:00:00	NA	14.9170290798611	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26759"	2022-04-30 17:00:00	NA	14.7930946180556	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20407"	2022-04-30 18:00:00	NA	14.9551627604167	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26760"	2022-04-30 18:00:00	NA	14.8193115234375	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20408"	2022-04-30 19:00:00	NA	15.01236328125	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26761"	2022-04-30 19:00:00	NA	14.8502951388889	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20409"	2022-04-30 20:00:00	NA	15.0504969618056	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26762"	2022-04-30 20:00:00	NA	14.8908121744792	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20410"	2022-04-30 21:00:00	NA	15.1053141276042	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26763"	2022-04-30 21:00:00	NA	14.9241791449653	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20411"	2022-04-30 22:00:00	NA	15.1529812282986	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26764"	2022-04-30 22:00:00	NA	14.9551627604167	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20412"	2022-04-30 23:00:00	NA	15.2054150390625	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26765"	2022-04-30 23:00:00	NA	14.9932964409722	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20413"	2022-05-01	NA	15.2530821397569	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26766"	2022-05-01	NA	15.0290467664931	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20414"	2022-05-01 01:00:00	NA	15.2983658854167	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26767"	2022-05-01 01:00:00	NA	15.0695638020833	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20415"	2022-05-01 02:00:00	NA	15.3436496310764	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26768"	2022-05-01 02:00:00	NA	15.1029307725694	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20416"	2022-05-01 03:00:00	NA	15.3841666666667	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26769"	2022-05-01 03:00:00	NA	15.1243809678819	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20417"	2022-05-01 04:00:00	NA	15.4342171223958	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26770"	2022-05-01 04:00:00	NA	15.1601312934028	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20418"	2022-05-01 05:00:00	NA	15.4795008680556	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
